category,city/state,language,impact,Type of Policy,expiration,section
Gives officers unfair access to information,Buffalo,"The member shall be informed of the nature of the investigation before any interrogation begins, including the name of the complainant. (...) the member shall be given sufficient information to reasonable apprise him of the allegations",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,6/30/17,22.2 B
Gives officers unfair access to information,California Police Bill of Rights,The public safety officer being interrogated shall have the right to bring his or her own recording device and record any and all aspects of the interrogation.,Gives officers immediate access to the recorded interrogation,State Law,None,3303.g
Gives officers unfair access to information,Chandler,"In addition, the unit member and/ or the Police Department supervisor/Professional Standards Section representative may mechanically record such interview.",Gives officers immediate access to the recorded interrogation,Contract,6/30/16,1.4.K
Gives officers unfair access to information,Chandler,"At the time of a scheduled interview by the Professional Standards Section, a Police Department supervisor, or other City employee, the investigator will advise the unit member of all evidence known at the time of the interview that will be used in the course of the investigation. This includes any written documents, video or audio recordings, or photographs. The Investigator will inform the unit member of such evidence at the time of the interview.",Gives officers access to all evidence prior to an interrogation,Contract,6/30/16,1.4.K
Gives officers unfair access to information,Chicago,An Officer under investigation will be provided with a copy of any and all statements he or she has made that are audio recorded or in writing within seventy-two (72) hours of the time the statement was made.,Gives officers immediate access to the recorded interrogation,Contract,6/30/17,6.2.H
Gives officers unfair access to information,Chicago,"If an Officer provides a statement during the investigation conducted promptly following a shooting incident and then is later interrogated by the Employer, IPRA or IAD as part of an investigation related to such incident, the Officer shall be provide with a copy of the portion of any official report that purportedly summarizes his or her prior statement before the interrogation.",Gives officers a copy of their prior statements after a police shooting,Contract,6/30/17,6.1.L
Gives officers unfair access to information,Chicago,"Immediately prior to the interrogation of an Officer under investigation, he or she shall be informed in writing of the nature of the complaint and the names of all complainants.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,6/30/17,6.1.E
Gives officers unfair access to information,Cincinnati,"The FOP shall be permitted to provide and store a tape recorder and tapes in the Internal Investigation Section for the use of any member who is being interrogated, or the member may provide his own recorder and tapes. The FOP recorder and tapes shall not be utilized for any other purpose, and shall be exclusive property of the FOP. In the event the FOP tape recorder fails to work and the City makes its own recording, the City will make the original recordinb available to hte member o rhis designated representative to copy, but will not provide a copy.",Gives officers immediate access to the recorded interrogation,Contract,5/21/16,Article X
Gives officers unfair access to information,Cleveland,"A copy of any tape, transcript or written statement made pursuant to an administrative investigation (such as a Form-I statement) shall be provided to the patrol officer immediately following such questioning or interviewing unless it is a result of a criminal investigation.",Gives officers immediate access to the recorded interrogation,Contract,3/13/16,8.12.C
Gives officers unfair access to information,Corpus Christi,"Prior to the interview, the Officer shall be allowed to view any and all digital recordings of an incident involving the Officer, including videos and/or audios.",Gives officers access to video/audio evidence prior to an interrogation,Contract,8/30/19,"A7, pC, s5"
Gives officers unfair access to information,Corpus Christi,"Upon request of the employee or the employee's attorney, said employee or attorney shall be given an exact copy of any written statement the employee executed, or if the questioning is (video/audio) or stenographically recorded, the employee or the attorney shall be permitted to record or transcribe from the original recording of the officer's own statement or interview, upon his/her reest, or to purchase a copy of the original recording. The City shall provide within a reasonable time prior to the rebuttal conerence or hearing ('Loudermill""), the employee or the employee's attorney a reasonable time to review but not copy verbatim or photocopy any complaints, affidavits, other written statements, GPS/AVL readouts, video recordings, audio recordings, and photographs, which have been gathered as part of the administrative investigation The officer shall not release the provided information to any person other than his/her attorney or Association representative.",Gives officers access to all evidence prior to a hearing,Contract,8/30/19,"A7, pC, s9"
Gives officers unfair access to information,Corpus Christi,"When the officer receives the written notice to appear at internal affairs for an interview, the officer shall also receive a copy of the complaint against such officer. The complaint shall include the name of the complainant, the date of the alleged incident, and the allegations of the officer's misconduct.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,8/30/19,"A7, pC, s4"
Gives officers unfair access to information,Delaware Police Bill of Rights,"A complete record, either written, taped or, if taped, transcribed as soon as practicable, shall be kept of all interviews held in connection with the administrative investigation upon notification that substantial evidence exists for seeking an administrative sanction of the law-enforcement officer. A copy of the record shall be provided to the officer or the officer's counsel at the officer's expense upon request.",Gives officers immediate access to the recorded interrogation,State Law,None,9200.C7
Gives officers unfair access to information,Detroit,"The complete investigative interview of the member, including a notation of all recess periods, shall be recorded and there shall be no unrecorded questions or statements. At the request of the member, a copy of the investigative interview shall be furnished to him.",Gives officers immediate access to the recorded interrogation,Contract,12/31/19,16.K
Gives officers unfair access to information,Florida Police Bill of Rights,"The formal interrogation of a law enforcement officer or correctional officer, including all recess periods, must be recorded on audio tape, or otherwise preserved in such a manner as to allow a transcript to be prepared, and there shall be no unrecorded questions or statements. Upon the request of the interrogated officer, a copy of any recording of the interrogation session must be made available to the interrogated officer no later than 72 hours, excluding holidays and weekends, following said interrogation",Gives officers immediate access to the recorded interrogation,State Law,None,Section 112.532.g
Gives officers unfair access to information,Florida Police Bill of Rights,"The law enforcement officer or correctional officer under investigation must be informed of the nature of the investigation before any interrogation begins, and he or she must be informed of the names of all complainants. All identifiable witnesses shall be interviewed, whenever possible, prior to the beginning of the investigative interview of the accused officer. The complaint, all witness statements, including all other existing subject officer statements, and all other existing evidence, including, but not limited to, incident reports, GPS locator information, and audio or video recordings relating to the incident under investigation, must be provided to each officer who is the subject of the complaint before the beginning of any investigative interview of that officer. An officer, after being informed of the right to review witness statements, may voluntarily waive the provisions of this paragraph and provide a voluntary statement at any time.",Gives officers access to all evidence prior to an interrogation,State Law,None,Section 112.532.d
Gives officers unfair access to information,Florida Police Bill of Rights,The officer who is the subject of the complaint may review the complaint and all statements regardless of form made by the complainant and witnesses and all existing evidence.,Gives officers access to all evidence prior to an interrogation,State Law,None,Section 112.533.2.a.2
Gives officers unfair access to information,Fort Wayne,"Before the questioning of any Employee as a result of a complaint by a citizen, that citizen shall be required to sign a statement clearly stating the allegation, a copy of which shall be provided to the officer at the time said officer is directed to report for questioning.",Gives officers access to the complaint prior to an interrogation,Contract,12/31/10,7.1
Gives officers unfair access to information,Fort Wayne,The Employee being questioned shall have the right to bring his/her own recording device and record any and all aspects of the questioning.,Gives officers immediate access to the recorded interrogation,Contract,12/31/10,7.5.E
Gives officers unfair access to information,Glendale,"Subject or witness interviews conducted with represented memers, including fact finding interviews to determine if policy violations have occurred may be audio taped. When such interviews are recorded, the represented employee will also have the opportunity to record the interview.",Gives officers immediate access to the recorded interrogation,Contract,6/30/16,4.4.8
Gives officers unfair access to information,Glendale,The represented employee shall be notified of the identity of the complaining party and the context of the alleged complaint against the represented member.,Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,6/30/16,4.4.3(2)
Gives officers unfair access to information,Hialeah,"The law enforcement officer under investigation shall be informed of the nature of the investigation prior to any interrogations, whether the investigation is criminal or administrative in nature, and he shall be informed of the name of all complainants and witnesses against him, as well as be allowed to review all of the written statements of all complainants and witnesses against him immediately prior to the beginning of the investigative interview.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,9/30/16,25.2.D
Gives officers unfair access to information,Honolulu,"At the written request of the employee, a transcribed copy of the interrogation, if transcribed, shall be furnished to the employee within five (5) working days after the request. If a tape recording is made of the interrogation, the employee shall, upon written request, have access to the tape. The original tape shall remain the property of and in the custody of the Police Department. Expenses incurred in the reproduction of the tape and/or transcription of the interrogation(s) shall be borne by the employee as occasioned by the employee's request. Copies shall be made only by the Employer and shall be
 certified to be true. The employee may, at the employee's option, have the interrogation session recorded on the employee's personal tape recorder.",Gives officers immediate access to the recorded interrogation,Contract,6/30/17,"A12, B. 2. l."
Gives officers unfair access to information,Houston,"An officer is entitled to and shall be provided written statements or affidavits received or gathered by the investigative authority from witnesses, officers or supervisors obtained during the investigation before the officer's interrogation, if the interrogation is based in whole or in part upon such witness' statement(s). A) If an officer is not given the witness' statement(s), any such statement may not be used to support an administrative action or discipline against the officer;",Gives officers access to all witness statements prior to interrogation,Contract,12/31/18,30.4
Gives officers unfair access to information,Illinois Police Bill of Rights,"A complete record of any interrogation shall be made, and a complete transcript or copy shall be made available to the officer under investigation without charge and without undue delay. Such record may be electronically recorded.",Gives officers immediate access to the recorded interrogation,State Law,None,Sec 3.7
Gives officers unfair access to information,Illinois Police Bill of Rights,"No officer shall be subjected to interrogation without first being informed in writing of the nature of the investigation. If an administrative proceeding is instituted, the officer shall be informed beforehand of the names of all complainants. The information shall be sufficient as to reasonably apprise the officer of the nature of the investigation.",Gives officers access to the names of complainants and nature of complaint before interrogation,State Law,None,Sec 3.2
Gives officers unfair access to information,Indianapolis,"Once an employee is scheduled for interrogation by the Internal Affairs Office, he will be provided a copy of the Officer's Bill of Rights, the complaint in non-criminal cases, where one exists or an oral summary of the complaint where one does not, and will be informed of the nature of the complaint in criminal cases, but in neither case will the name of the complainant necessarily be disclosed.",Gives officers access to information about the nature of the investigation prior to an interrogation,Contract,12/31/16,4.2.B
Gives officers unfair access to information,Jacksonville,"Any law enforcement officer who is the subject of an investigation or interview has the right to review the complaint or allegation and all written and/or recorded statements, regardless of form, made by the complainant(s) and witness(es) immediately prior to the beginning of the interview.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/14,Article 11.K
Gives officers unfair access to information,Jacksonville,"The entire interrogation or interview of a law enforcement officer, including the times of all recess periods, shall be recorded, and there shall be no unrecorded questions or statements. A copy of the recorded interrogation or interview shall be provided upon request within 72 hours following the interrogation or interview.",Gives officers immediate access to the recorded interrogation,Contract,9/30/14,Article 11.G
Gives officers unfair access to information,Jacksonville,The law enforcement officer under investigation shall be informed in writing the nature of the investigation prior to any interrogation or interview and the officer shall be informed of the name(s) of all complainants.,Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,9/30/14,Artile 11.D
Gives officers unfair access to information,Kansas City,"Prior to any investigatory interview or request for a written response, the BARGAINING UNIT EMPLOYEE may request access to videos and police reports regarding the incident(s) that is subject to the investigation, and access will be granted unless in the judgment of the investigating officer such access may compromise the integrity of the investigation.",Gives officers access to all evidence prior to an interrogation,Contract,4/30/17,Article 12.1
Gives officers unfair access to information,Kansas City,"With the exception of Miscellaneous Investigations, bargaining unit members shall be informed in writing of the nature of the investigation and of the names of the complainants with reasonable notice before the scheduled interview, unless there is good cause to dispense with notice prior to the interview",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,4/30/17,Article 23.1
Gives officers unfair access to information,Laredo,"48 hours prior to being interrogated or asked to otherwise respond to and administrative investigation, the employee under invesigation shall be informed of the genral nature of the investigations, and sufficient information to reasonably apprise the employee of the allegations. ...at the interview....the employee shall be allowed to review...any complaints, GPS/AVL readouts, video recordings, audio recordings and photograghs which have been gathered as part of the administrative investigation. In the event the District Attorney's office or United States Attorney's office directs the city to not allow an employee to review an item or items, the employee shall receive a copy of such correspondence. ...An employee subject to a criminal investigation in addition to an administrative investigation shall not be interviewed by Internal Affairs investigators without being entitled to review the above records. Such employees subject to a criminal investigation will be afforded the rights espoused in Article 27.4",Gives officers access to all evidence prior to an interrogation,Contract,9/30/16,Article 27.3 (D)
Gives officers unfair access to information,Las Vegas,"When the Department possesses infonnation in an electronic, audio, video, or written fonnat, the investigator will allow the employee an opportunity to explain an answer or refute the negative implication of his/her recollection after the employee is given the opportunity to review the media evidence.",Gives officers access to all evidence during an interrogation as a means to correct inconsistencies in their explanations,Contract,6/30/19,Article 4.4.H
Gives officers unfair access to information,Lincoln,Any employee who is the subject of a complaint filed with the Internal Affairs Office shall be informed of the nature of the complaint in writing as soon as possible following the determination by the Department Head or his designated representative as to whether the complaint will be handled formally or informally and who will handle the investigation. The written notice must contain the following information: 1) Name of complainant; 2) Nature of the initial complaint with specific allegations outlined; 3) Time and date of occurrence of alleged act or commission; and 4) Location.,Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,8/31/15,"Article 10, section 1(1)"
Gives officers unfair access to information,Louisiana Police Bill of Rights,All interrogations of any police employee or law enforcement officer in connection with the investigation shall be recorded in full. The police employee or law enforcement officer shall not be prohibited from obtaining a copy of the recording or transcript of the recording of his statements upon his written request.,Gives officers immediate access to the recorded interrogation,State Law,None,2531.B.3
Gives officers unfair access to information,Louisville,"The forty-eight ( 48) hour written notice shall include a copy of the complaint. In the event a written complaint does not exist, the forty-eight ( 48) hour notice shall include other written information sufficient to advise the Member of the specific allegations of misconduct.",Gives officers access to the complaint prior to an interrogation,Contract,6/30/15,Article 17.2.B
Gives officers unfair access to information,Louisville,"Upon request of the Member under investigation or his representative, the Member shall be provided a copy of the transcript of the recorded interrogation, if one has been made, and a copy of the recording. The Member shall provide the Professional Standards Unit (PSU) with an audiotape, or technological equivalent at his expense.",Gives officers immediate access to the recorded interrogation,Contract,6/30/15,Article 17.2.E
Gives officers unfair access to information,Maryland Police Bill of Rights,"(k) Record of interrogation.-
 (1) A complete record shall be kept of the entire interrogation, including all recess
 periods, of the law enforcement officer.
 (2) The record may be written, taped, or transcribed.
 (3) On completion of the investigation, and on request of the law enforcement
 officer under investigation or the law enforcement officer's counsel or
 representative, a copy of the record of the interrogation shall be made available
 at least 10 days before a hearing.",Gives officers access to the recorded interrogation,State Law,None,3-104(k)(1-3)
Gives officers unfair access to information,Memphis,"An employee will be given an exact copy of any written statement he may execute, or if the questioning is mechanically or stenographically recorded, the employee will be given a copy of such recording and/or transcript immediately upon request by him/her. If there is any discrepancy between the recorded and transcribed versions of the statement, then the employee shall be afforded the opportunity to listen to his/her recorded statement to correct transcription errors prior to signing. During the course of the investigation, the employee will not show his/her statement to any other employee. Copies of statements will not be used in any way to compromise the ongoing investigation.",Gives officers immediate access to the recorded interrogation,Contract,6/30/13,15.3.8
Gives officers unfair access to information,Memphis,"Before Internal Affairs interviews an employee as a direct result of a complaint by a citizen, whose identity is known, that citizen will be required to sign a sworn affidavit ... and a copy will be provided to the employee at the time of the interview for the employee's review.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,6/30/13,15.6
Gives officers unfair access to information,Miami,"All identifiable witnesses shall be interviewed, whenever possible, prior to the beginning of the investigative interview of the accused officer. The complaint, all witness statements, including all other existing subject officer statements, and all other existing evidence must be provided to each officer who is the subject of the complaint before ethe beginning of any investigative interview.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/14,8.1.D
Gives officers unfair access to information,Miami,"The entire interrogation or interview of a law enforcement officer, including the times of all recess periods, shall be recorded, and there shall be no unrecorded questions or statements. A copy of the recorded interrogation or interview shall be provided upon request within 72 hours following the interrogation or interview.",Gives officers immediate access to the recorded interrogation,Contract,9/30/14,8.1.G
Gives officers unfair access to information,Minnesota Police Bill of Rights,"A complete record of sessions at which a formal statement is taken must be made by electronic recording or otherwise. Upon written request of the officer whose statement is taken, a complete copy or transcript must be made available to the officer without charge or undue delay. The session may be tape recorded by the investigating officer and by the officer under investigation",Gives officers immediate access to the recorded interrogation,State Law,None,626.89.Subd 8
Gives officers unfair access to information,Nevada Police Bill of Rights,"The peace officer, any representative of the peace officer or the law enforcement agency may make a stenographic, digital or magnetic record of the interview, interrogation or hearing. If the agency records the proceedings, the agency shall at the peace officer's request and expense provide a copy of the:
 
 a) Stenographic transcript of the proceedings; or
 
 b) Recording on the digital or magnetic tape.",Gives officers immediate access to the recorded interrogation,State Law,None,NRS289.080.7
Gives officers unfair access to information,New Mexico Police Bill of Rights,"an accurate copy of the transcript or tape shall be provided to the officer, upon his written request, no later than fifteen working days after the investigation has been completed.",Gives officers access to the recorded interrogation within 15 days,State Law,None,29-14-4.F
Gives officers unfair access to information,New Mexico Police Bill of Rights,"prior to commencement of any interrogation session:
 
 (1) an officer shall be informed of the name and rank of the person in charge of the interrogation and all other persons who will be present during the interrogation;
 
 (2) an officer shall be informed of the nature of the investigation, and the names of all known complainants shall be disclosed to the officer unless the chief administrator of the officer's employer determines that the identification of the complainant shall not be disclosed because it is necessary for the protection of an informant or because disclosure would jeopardize or compromise the integrity or security of the investigation; and","Gives officers access to the names of complainants and nature of complaint, and names of their interrogators, prior to interrogation",State Law,None,29-14-4.C
Gives officers unfair access to information,North Las Vegas,The peace officer shall also have right to bring his own recorder and record any and all aspects of the interrogation.,Gives officers immediate access to the recorded interrogation,Contract,6/30/12,22.4.G
Gives officers unfair access to information,Oklahoma City,"If known, the officer shall be informed of the name of all complainants.",Gives officers access to the names of complainants prior to an interrogation,Contract,6/30/15,Addendum E.2.A
Gives officers unfair access to information,Oklahoma City,"The interviewing of the officer under investigation may be taped and/or recorded in written form at the discretion of the investigating officials. Officers under investigation may record the proceedings with the officer's own equipment at the officer's own expense. Records and tapes compiled by the City shall be retained by the city, and may be used at the discretion of the City in administrative hearings or for other administrative purposes.",Gives officers immediate access to the recorded interrogation,Contract,6/30/15,Addendum E.2.H
Gives officers unfair access to information,Orlando,"The employee under investigation will be allowed to read the l.N.O.l. before the interrogation begins, must be informed of the person or persons in charge of the investigation, and who will be conducting the questioning; however, no more than one person shall ask questions at any time. prior to the beginning of the interview the officer who is the subject of the complaint and the officer's representative may review the complaint and statements to the extent required by Florida Statute.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/16,5.5.C
Gives officers unfair access to information,Orlando,"The formal interrogation/interview of an employee, or any issuance of orders in disciplinary matters shall be recorded, and there shall be no unrecorded questions or statements. The employee or the employee's representative shall be allowed to record these sessions.",Gives officers immediate access to the recorded interrogation,Contract,9/30/16,5.5.D
Gives officers unfair access to information,Phoenix,"A unit member under investigation by Professional Standards Bureau or a Police Department supervisor for a disciplinary matter that may lead to a written reprimand, suspension, demotion, or discharge, and who is interviewed or interrogated, or requested to produce any documentation, shall be given a written Notice Of Investigation (Form 80-58DB) informing him of the specific nature of the investigation, his status in the investigation, and all known allegations of misconduct involved in the interview of the unit member. In addition, the unit member and/or the Police Department supervisor/Professional Standard Bureau representative may mechanically record such interview/interrogation",Gives officers immediate access to the recorded interrogation,Contract,6/30/16,1.4.G
Gives officers unfair access to information,Phoenix,"At the time of the scheduled interview by Professional Standards Bureau, a Police Department Supervisor, or other City Employee, the investigator will make available for review to the unit member and/or his representative any material that is being used as the basis for an allegation of misconduct. Material includes any video, audio, photographs, or documents written by a complainant, witness or investigative lead that may be included in the internal investigation.",Gives officers access to all evidence prior to an interrogation,Contract,6/30/16,1.4.B.4(1)
Gives officers unfair access to information,Portland,"The complete interview of the officer, noting all recess periods, shall be recorded and the officer upon request will be provided a copy of the recording, or the officer may also record the interview at the officers own expense. If the interviewed officer is subsequently charged and any part of any recording of the interview is transcribed by the Bureau, the officer shall be given a complimentary copy thereof.",Gives officers immediate access to the recorded interrogation,Contract,6/30/20,61.2.2.8
Gives officers unfair access to information,Portland,The officer will be furnished with the names of all witnesses and complainants who will appear against the officer and/or whose statements will be used against the officer.,Gives officers access to the names of all complainants and witnesses prior to an interrogation,Contract,6/30/20,61.2.3.2
Gives officers unfair access to information,Rhode Island Police Bill of Rights,"The law enforcement officer under investigation shall, prior to any interrogating, be informed in writing of the nature of the complaint and of the names of all complainants",Gives officers access to the names of complainants and nature of complaint before interrogation,State Law,None,42-28.6-2(5)
Gives officers unfair access to information,Rochester,A member of the bargaining unit shall have the right to electronically or otherwise record any and all statements he gives to the police Department during such investigation.,Gives officers immediate access to the recorded interrogation,Contract,6/30/16,20.1.9
Gives officers unfair access to information,San Antonio,"The Officer shall be allowed to review but not copy verbatim or photocopy any complaints, affidavits, other written statements, GPS/AVL readouts, video recordings, audio recordings, and photographs, which have been gathered as part of the administrative investigation.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/21,29.2.C(2)
Gives officers unfair access to information,San Diego,The public safety officer being interrogated shall have the right to bring his or her own recording device and record any and all aspects of the interrogation.,Gives officers immediate access to the recorded interrogation,Contract,6/20/20,64.3303.g
Gives officers unfair access to information,San Francisco,"In the event an OCC investigative hearing is determined to be appropriate and is scheduled, the affected employee and the complainant, prior to said hearing and upon seventy-two (72) hours' advance notice, shall have access to all evidence not deemed to be confidential pursuant to the Police Commission rules. Such access shall consist of inspection of materials and, upon request, copies of materials for use by the employee and the complainant.",Gives officers access to all (non-confidential) evidence prior to being brought before the civilain oversight structure for an investigative hearing.,Contract,6/30/18,5.66
Gives officers unfair access to information,Seattle,"If the interview is tape recorded by the Department, the employee and/or the Guild shall have the right to make an independent tape recording of the interview, a copy of which shall be made available to the Department upon request. The Department shall provide the Guild a copy of the transcript of the tape recording made by IIS at no cost within ten days after completion of the interview.",Gives officers immediate access to the recorded interrogation,Contract,12/31/14,3.6.F
Gives officers unfair access to information,Seattle,"The Department shall furnish the employee and the Guild with a classification report no later than thirty (30) days after receipt of the complaint by the OPA or by a Department sworn supervisor. The classification report shall include, at a minimum, a copy of the complaint, the results of the Departments preliminary review of the complaint, a list of the charges against the employee and the rules the employee is alleged to have violated, a factual summary of the allegations against the employee, and, if the Department intends to investigate the complaint, the procedures it intends to use in investigating the complaint (e.g., OPA-IS investigation or line investigation). No employee may be interviewed until the employee has been provided the classification report.",Gives officers access to the complaint prior to an interrogation,Contract,12/31/14,3.6.A
Gives officers unfair access to information,St. Petersburg,It will be an employee's right to record his own Internal Affairs investigation interview if he wishes.,Gives officers immediate access to the recorded interrogation,Contract,9/30/16,Article 2. Section 5.B
Gives officers unfair access to information,St. Petersburg,"The law enforcement officer or correctional officer under investigation must be informed of the nature of the investigation before any interrogation begins, and he or she must be informed of the names of all complainants. The complaint, all witness statements, including all other existing subject officer statements, and all other existing evidence, including, but not limited to, incident reports, GPS locator information, and audio or video recordings relating to the incident under investigation, must be provided to each officer who is the subject of the complaint before the beginning of any investigative interview of that officer.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/16,Section 112.532.d
Gives officers unfair access to information,Tampa,The employee under investigation shall be informed of the identity of the individual person(s) who are complainant(s). The employee under investigation ... may review the complaint and all statements regardless of form made by the complainant and witnesses immediately prior to the beginning of the investigative interview.,Gives officers access to the names of complainants and all statements prior to an interrogation,Contract,9/30/11,37.1.c
Gives officers unfair access to information,Tampa,The employee under investigation shall be informed of the identity of the individual person(s) who are complainant(s). The employee under investigation ... may review the complaint and all statements regardless of form made by the complainant and witnesses immediately prior to the beginning of the investigative interview.,Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,9/30/11,37.1.c
Gives officers unfair access to information,Tampa,"The formal interrogation of the employee, including all recess periods, shall be recorded on audio tape, or otherwise preserved in such a manner as to allow a transcript to be prepared, and there shall be no unrecorded questions or statements. Additional recordation may be by the employee or his representative. Upon the request of the interrogated officer, a copy of any such recording of the interrogation session must be made available to the interrogated officer no later than 72 hours, excluding holidays and weekends, following said interrogation.",Gives officers immediate access to the recorded interrogation,Contract,9/30/11,37.1.f
Gives officers unfair access to information,Tampa,The officer who is the subject of the complaint may review the complaint and all statements regardless of form made by the complainant and witnesses and all existing evidence immediately before beginning the investigative interview.,Gives officers access to all evidence prior to an interrogation,Contract,10/1/11,112.533.2
Gives officers unfair access to information,Tucson,"in addition, an employee who is a subject of a non-criminal investigation may record the interview after giving notice.",Gives officers immediate access to the recorded interrogation,Contract,6/30/14,9.5.F
Gives officers unfair access to information,Tulsa,Officers under investigation may record the proceedings with his own equipment or record at his own expense.,Gives officers immediate access to the recorded interrogation,Contract,6/30/16,B. 30.1.i
Gives officers unfair access to information,Tulsa,"The Officer may be informed of the name of all complainants, if known if it is determined by the Chief that so informing the officer will not compromise the investigation in any way.",Gives officers access to the names of complainants prior to an interrogation,Contract,6/30/16,B. 30.1.a
Gives officers unfair access to information,Washington D.C.,"A District or Division Commander shall attempt to resolve a disciplinary matter after a conference with an affected employee and his Union representative without resorting to the steps outlined elsewhere in this Article. ... The employee, once notified and prior to the conference, may during the day-work tour review the investigative report of the incident that resulted in the proposal that is subject to the conference.",Gives officers access to the investigative report prior to interrogation,Contract,9/30/08,12.13
Gives officers unfair access to information,Washington D.C.,"Prior to the commencement of any administrative interview, criminal interview, or interrogation, a member shall be informed the names of the complainant(s), if known, unless this information would jeopardize the investigation.",Gives officers access to the names of complainants prior to an interrogation,Contract,9/30/08,13.4.2
Gives officers unfair access to information,Wichita,The employee and the FOP shall be entitled to record the interview electronically or in writing.,Gives officers immediate access to the recorded interrogation,Contract,12/24/10,13.2.f.3.d
