category,city/state,language,impact,Type of Policy,expiration,section
Restricts/Delays Interrogations,Buffalo,"The member shall not be subjected to offensive language, nor shall he be threatened with transfer, dismissal, or other punishment.",Limits the type of language and incentives used during interrogation,Contract,6/30/17,22.3 E
Restricts/Delays Interrogations,Buffalo,"The questioning shall not be overly long. Reasonable respites shall be allowed. Time shall be provided for personal necessities, meals, telephone calls, and reasonable rest periods.","Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",Contract,6/30/17,22.3 D
Restricts/Delays Interrogations,California Police Bill of Rights,All questions directed to the public safety officer under interrogation shall be asked by and through no more than two interrogators at one time,Limits the number of interrogators to two,State Law,None,3303.b
Restricts/Delays Interrogations,California Police Bill of Rights,"The public safety officer under interrogation shall not be subjected to offensive language or threatened with punitive action, except that an officer refusing to respond to questions or submit to interrogations shall be informed that failure to answer questions directly related to the investigation or interrogation may result in punitive action. No promise of reward shall be made as an inducement to answering any question",Limits the type of language and incentives used during interrogation,State Law,None,3303.e
Restricts/Delays Interrogations,Chandler,"Any unit member who is the subject of an officer involved shooting investigation who has discharged a weapon or was shot at or violently assaulted may request to have the administrative interview postponed for up to 48 hours from the time of the incident. The Police Chief may deny the request when he or she determines that delaying the interview would be detrimental to the investigation. A unit member may waive his/her rights to make the request for postponement of the administrative interview. In all cases, the overall mental and physical health of the unit member shall be taken into consideration.","48 hour delay in cases of police shootings, can be denied by Chief",Contract,6/30/16,1.4.D
Restricts/Delays Interrogations,Chandler,"If during the course of the above-mentioned investigation, information is learned concerning additional misconduct on the part of the unit member being interviewed, a notice of investigation will be issued to the unit member prior to the unit member being questioned about the additional misconduct information.",Limits questions that can be asked to involve only one alleged violation,Contract,6/30/16,1.4.K.4
Restricts/Delays Interrogations,Chandler,"The interview session shall be for a reasonable period of time, taking into consideration the gravity and complexity of the misconduct being investigated.",Limits interrogations to 'reasonable amount of time',Contract,6/30/16,1.4.C
Restricts/Delays Interrogations,Chicago,"The interview shall be postponed for a reasonable time [in order for the Officer's representation to be present] , but in no case more than forty-eight (48) hours from the time the Officer is informed of the request for an interview and the general subject matter thereof and his or her counsel or representative can be present.",48 hour delay,Contract,6/30/17,6.2.E
Restricts/Delays Interrogations,Chicago,"An Officer under interrogation shall not be threatened with transfer, dismissal or disciplinary
 
 action or promised a reward as an inducement to provide information relating to the incident
 
 under investigation or for exercising any rights contained herein. The Department shall not
 
 retaliate in any manner against any Officer covered by this Agreement who cooperates in a
 
 Department disciplinary investigation.",Limits the type of language and incentives used during interrogation,Contract,6/30/17,6.1.G
Restricts/Delays Interrogations,Chicago,"The length of interrogation sessions will be reasonable, with reasonable interruptions
 
 permitted for personal necessities, meals, telephone calls and rest.",Limits interrogations to 'reasonable amount of time',Contract,6/30/17,6.1.F
Restricts/Delays Interrogations,Chicago,"The length of interviews will be reasonable, with reasonable interruptions permitted for personal necessities, meals, telephone calls and rest.","Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",Contract,6/30/17,6.2.F
Restricts/Delays Interrogations,Chicago,"When a formal statement is being taken, questions directed to the Officer under interrogation shall first
 
 be asked by the designated primary interrogator. Unless both parties agree, no more than
 
 two members of IPRA or IAD will be present in the interview room during questioning. A
 
 secondary interrogator may participate in the interrogation, provided that the secondary
 
 interrogator shall be present for the entire interrogation. The secondary interrogator will
 
 not ask any questions until the primary interrogator has finished asking questions and
 
 invites the secondary interrogator to ask questions. Generally, the secondary interrogator
 
 will ask follow-up questions for clarification purposes. The primary interrogator will not
 
 ask any questions until the secondary interrogator has finished asking questions and
 
 invites the primary interrogator to ask follow-up questions","Limits type and order of questions asked during interrogation, limits the number of interrogators to two and limits who they can be",Contract,6/30/17,6.1.C(2)
Restricts/Delays Interrogations,Cleveland,"Questioning or interviewing of a bargaining unit member in the course of an internal investigation will be conducted at hours reasonably related to a shift, unless operational necessities require otherwise. Interrogation sessions shall be for reasonable periods of time and time shall be provided for rest periods and attendance to physical necessities. A copy of any tape, transcript or written statement made pursuant to an administrative investigation (such as a Form-I statement) shall be provided to the patrol officer immediately following such questioning or interviewing unless it is a result of a criminal investigation.","Limits interrogations to 'reasonable amount of time,' gives officers breaks that are not given to civilians, limits interrogations to 'reasonable hours'",Contract,3/13/16,8.12.C
Restricts/Delays Interrogations,Columbus,"To facilitate Lodge representation of a member who is the focus of an investigation in an interview conducted by the Internal Affairs Bureau, the focus member shall be notified by the investigator at least twenty-four (24) hours in advance of the anticipated interview unless otherwise necessary to preserve the integrity of the investigation. When contacted, the member shall be advised by the investigator that he/she is the focus of an investigation and informed that he/she has the right to contact a Lodge Representative for representation.",24 hour delay,Contract,12/8/17,8.2.A.2
Restricts/Delays Interrogations,Columbus,"Any interrogating, questioning, or interviewing of a member will be conducted insofar as practical at hours resonably related to the member's shift, preferably during the member's work hours. Interrogation, quetioning, or interviewing sessions shall be for reasonable periods of time and time shall be allowed during such questioning for attendance to physical necessities.","Limits interrogations to 'reasonable amount of time,' gives officers breaks that are not given to civilians, limits interrogations to when officers are on duty",Contract,12/8/17,8.7
Restricts/Delays Interrogations,Corpus Christi,"Except in exigent circumstances, the officer shall be informed 48 hours prior to being interviewed",48 hour delay,Contract,8/30/19,"A7, pC, s4"
Restricts/Delays Interrogations,Corpus Christi,"The employee shall not be subjected to any offensive language, nor shall he be threatened with transfer, dismissal, or any other disciplinary punishment",Limits the type of language and incentives used during interrogation,Contract,8/30/19,"A7, pC, s6"
Restricts/Delays Interrogations,Corpus Christi,The interview shall be completed with reasonable dispatch. Reasonable respites shall be allowed. Time shall also be provided for personal necessities...,"Limits interrogations to be completed within 'reasonable dispatch', gives officers breaks that are not given to civilians",Contract,8/30/19,"A7, pC, s5"
Restricts/Delays Interrogations,Delaware Police Bill of Rights,All questions directed to the officer shall be asked by and through no more than 2 investigators.,Limits the number of interrogators to two,State Law,None,9200.C3
Restricts/Delays Interrogations,Delaware Police Bill of Rights,"Except upon refusal to answer questions purused in a valid investigation, no officer shall be threatened with transfer, dismissal or other disciplinary action.",Limits the type of language and incentives used during interrogation,State Law,None,9200.C6
Restricts/Delays Interrogations,Delaware Police Bill of Rights,Interview sessions shall be for reasonable periods of time. There shall be times provided for the officer to allow for such personal necessities and rest periods as are reasonably necessary.,"Limits interrogations to 'reasonable periods,' gives officers breaks that are not given to civilians",State Law,None,9200.C5
Restricts/Delays Interrogations,Detroit,"After an Employee is ordered to make any written statement in response to any alleged misconduct or possible misconduct on his part, he shall have at least forty-eight (48) hours from the time of the order in which to comply. The parties may extend this period by mutual agreement. If any Employee is ordered to make an oral statement, he shall comply subject to the receipt of Miranda or Garrity warnings or both and shall be given a reasonable time to act in accordance with such rights",48 hour delay,Contract,12/31/19,16.B
Restricts/Delays Interrogations,Detroit,"An Employee will be given forty-eight (48) hours written notice prior to an investigative interview in a non-criminal investigation, except in cases of emergency. In non-criminal investigations, the Employee shall be supplied with a copy of any complaints that have been filed against him/her and all relevant information at the time he/she is ordered to appear at the investigative interview. In those instances where a command level investigation of an informal citizens complaint, as opposed to those on DPD 512, progresses to the point where a written statement is ordered, the officer will be provided with an inter-office memorandum stating the complaint made against him, the identity of the person who filed the complaint, and the specific questions that the investigating supervisor wants answered. This shall include investigations delegated to the command to handle from other departmental agencies, such as the Internal Controls Bureau.",48 hour delay in non-criminal investigations,Contract,12/31/19,16.J.3
Restricts/Delays Interrogations,Detroit,"Employees required to be interviewed by the Professional Standard Bureau will be given forty-eight (48) hours written notice prior to the investigative interview.
 
 Provided, however, that the obligation to give forty-eight (48) hours written notice shall not apply: (1) to individuals who have been arrested; (2) to individuals who are questioned under Miranda; and (3) where the seriousness of the investigation is of such degree that an immediate interview is required.",48 hour delay,Contract,12/31/19,16.J.4
Restricts/Delays Interrogations,El Paso,"Except in exigent circumstances, an officer involved in an officer_involved shooting, critical incident, and/or custody death shall be informed forty-eight ( 48) hours prior to being interviewed or asked to otherwise respond to an internal affairs investigation of the general nature of the investigation before any interview commences. ""Exigent circumstances"" include necessary cooperation during incident scene procedures, including securing the scene, controlling the public, obtaining witness information, obtaining and processing all physical evidence from the scene or from the officer. During the first forty-eight ( 48) hours, the parties also agree that an officer shall not be compelled to participate in a ""walk-through"" investigation without their legal counsel being present.",48 hour delay for police killings,Contract,8/31/18,Article 30.1.(d)
Restricts/Delays Interrogations,Florida Police Bill of Rights,"All identifiable witnesses shall be interviewed, whenever possible, prior to the beginning of the investigative interview of the accused officer.",Delays interrogation until all witnesses have been interviewed,State Law,None,Section 112.532.d
Restricts/Delays Interrogations,Florida Police Bill of Rights,"All questions directed to the officer under interrogation shall be asked by or through one interrogator during any one investigative interrogation, unless specifically waived by the officer under investigation.",Limits the number of interrogators to one,State Law,None,Section 112.532.c
Restricts/Delays Interrogations,Florida Police Bill of Rights,Interrogating sessions shall be for reasonable periods and shall be timed to allow for such personal necessities and rest periods as are reasonably necessary.,"Limits interrogations to 'reasonable periods,' gives officers breaks that civilians dont get",State Law,None,Section 112.532.e
Restricts/Delays Interrogations,Florida Police Bill of Rights,"The law enforcement officer or correctional officer under interrogation may not be subjected to offensive language or be threatened with transfer, dismissal, or disciplinary action. A promise or reward may not be made as an inducement to answer any questions.",Limits the type of language and incentives used during interrogation,State Law,None,Section 112.532.f
Restricts/Delays Interrogations,Fort Wayne,"The Employee under investigation shall be informed of the nature of the investigation or whether he is a witness or the object of the investigation, and of any charges against him, at least two (2) calendar days prior to such questioning, unless evidence establishing probable cause that a felony has been committed demands an immediate investigation.",48 hour delay,Contract,12/31/10,7.5.B(1)
Restricts/Delays Interrogations,Fort Wayne,All questions directed to the Employee under investigation shall be asked by and through no more than two questioners.,Limits the number of interrogators to two,Contract,12/31/10,7.5.B(2)
Restricts/Delays Interrogations,Fort Wayne,The Employee under investigation shall not be subject to offensive language or threatened in any manner whatsoever.,Limits the type of language and incentives used during interrogation,Contract,12/31/10,7.5.D
Restricts/Delays Interrogations,Fort Wayne,The questioning session shall be for a reasonable period taking into consideration the gravity and complexity of the issue being investigated.,Limits interrogations to 'reasonable periods',Contract,12/31/10,7.5.C
Restricts/Delays Interrogations,Fort Worth,.an officer shall not be required to submit to any single interview for longer than six (6) hours. Interview sessions may be held on multiple or consecutive days until the interview process is completed.,Limits interrogations to 6 hour sessions max,Contract,9/30/16,Article 7.2.F.3
Restricts/Delays Interrogations,Fort Worth,"The officer under investigation shall not be subjected to any offensive language, nor shall the officer by threatened with transfer, dismissal, or other disciplinary punishment. No promise of reward shall be made as an inducement to answering questions. Nothing herein is to be construed so as to prohbit the investigating officer from informing the offcer under invesitgation that the misconduct being investigated could result in disciplinary action or termination of employment, or from informing the officer that he or she can be displined for untruthfulness during the investigation.",Limits the type of language and incentives used during interrogation,Contract,9/30/16,Article 7.2.F.6
Restricts/Delays Interrogations,Hialeah,Interrogating sessions shall be reasonable periods and shall be timed to allow for such personal necessities and rest periods as are reasonably necessary.,"Limits interrogations to 'reasonable periods,' gives officers breaks that civilians dont get",Contract,9/30/16,25.2.E
Restricts/Delays Interrogations,Hialeah,"The law enforcement officer under investigation shall be informed of the rank, name and command of the officer in charge of the investigation, the interrogating officer and all persons present during the interrogation. All questions directed to the officer under interrogation shall be asked by and through one (1) interrogator at any one (1) time.",Limits the type of language and incentives used during interrogation,Contract,9/30/16,25.2.C
Restricts/Delays Interrogations,Honolulu,"All questions directed to the employee being interrogated shall be asked by and through no more than one interrogator at a time; provided, however, the employee may request and shall be entitled to have present one representative of the employee's choice for each interrogator present.",Only one interrogator can ask questions at a time,Contract,6/30/17,"A12, B. 2. h."
Restricts/Delays Interrogations,Honolulu,"Each employee shall answer only those questions specifically, directly, and narrowly relating to the employee's duties and actions while performing in the official capacity of the Police Department.",Limits the type of language and incentives used during interrogation,Contract,6/30/17,"A12, B. 2. i."
Restricts/Delays Interrogations,Honolulu,Interrogation sessions shall be for reasonable periods and shall be timed to allow for such personal necessities and rest periods as are reasonably necessary provided that no period of continuous questioning shall be longer than thirty (30) minutes of duration without the employees consent.,"Limits interrogations to 30 minute intervals, total interrogation limited to 'reasonable period', and gives officers breaks that are not given to civilians",Contract,6/30/17,"A12, B. 2. j."
Restricts/Delays Interrogations,Honolulu,"The employee being interrogated shall not be subjected to offensive language or threatened with transfer, or other disciplinary action. No promise of reward shall be made as an inducement to answering any question. Nothing herein is to be construed as to prohibit the investigating officer from informing said employee that any disrespectful conduct during the interrogation can become the subject of disciplinary action.",Limits the type of language and incentives used during interrogation,Contract,6/30/17,"A12, B. 2. k."
Restricts/Delays Interrogations,Houston,An officer under investigation for a Class II violation investigated at the divisional level by an IAD investigator shall be required to receive only one Notice of Interrogation at least 48 hours prior to the first interrogation in any form.,48 hour delay,Contract,12/31/18,30.7
Restricts/Delays Interrogations,Houston,The officer being interrogated shall be provided a copy of the statement/complaint that serves as the basis for the complaint by the complainant at the time the 48 hours notice is given.,48 hour delay,Contract,12/31/18,30.3
Restricts/Delays Interrogations,Illinois Police Bill of Rights,Interrogations sessions shall be of reasonable duration and shall permit the officer interrogated reasonable periods for rest and personal necessities,"Limits interrogations to 'reasonable amount of time,' gives officers breaks that are not given to civilians",State Law,None,Sec 3.5
Restricts/Delays Interrogations,Illinois Police Bill of Rights,"The officer being interrogated shall not be subjected to professional or personal abuse, including offensive language.",Limits the type of language and incentives used during interrogation,State Law,None,Sec 3.6
Restricts/Delays Interrogations,Jacksonville,"Whenever practical, any officer who is the subject of an investigation will be interviewed or interrogated after all other known witnesses and complainants have been interviewed.",Delays interrogation until all witnesses have been interviewed,Contract,9/30/14,Article 11.L
Restricts/Delays Interrogations,Jacksonville,All questions directed to the officer under interrogation or interview shall be asked by and through one (1) interrogator at any one (1) time.,Only one interrogator can ask questions at a time,Contract,9/30/14,Article 11.C(2)
Restricts/Delays Interrogations,Jacksonville,Interrogating sessions or interviews shall be for reasonable periods and shall be timed to allow for such personal necessities and rest periods as are reasonably necessary.,Limits interrogations to 'reasonable amount of time',Contract,9/30/14,Article 11.E
Restricts/Delays Interrogations,Jacksonville,"The law enforcement officer under investigation or interview shall not be subjected to offensive language or threatened with transfer, dismissal, or disciplinary action. No promise or reward shall be made as an inducement to answer any questions.",Limits the type of language and incentives used during interrogation,Contract,9/30/14,Article 11.F
Restricts/Delays Interrogations,Jersey City,The member of the Force shall not be subjected to any offensive language. No promise of reward shall be made.,Limits the type of language and incentives used during interrogation,Contract,12/31/16,38.B.5
Restricts/Delays Interrogations,Jersey City,The questioning shall be reasonable in length. Reasonable respites will be allowed.,Limits interrogations to 'reasonable amount of time',Contract,12/31/16,38.B.3
Restricts/Delays Interrogations,Kansas City,"After a Personnel Incident Report is prepared, the Supervisor/Commander shall present a copy of the Personnel Incident Report and a copy of the entire incident packet to the involved member. Thereafter, the member, if he or she so chooses, shall have forty-eight (48) hours to respond, in writing",48 hour delay,Contract,4/30/17,Article 12.4
Restricts/Delays Interrogations,Kansas City,"Critical Incidents. In the event a BARGAINING UNIT EMPLOYEE is involved in a critical incident and a statement is required to be given to detectives, the Department will endeavor to provide the BARGAINING UNIT EMPLOYEE with a reasonable period of time, based on the circumstances, following the critical incident to provide a formal statement to the investigating element. Generally, the BARGAlNlNG UNIT EMPLOYEE will be permitted up to forty-eight (48) hours to complete such statement, except as otherwise provided herein. The member may choose to give a statement sooner, but such decision shall be left to the individual member and his or her representative. Additionally, should the need arise to obtain a formal statement sooner for purposes of filing charges and/or maintaining a subject who is in custody, the member shall make reasonable efforts to provide a statement to the Department within the timeframe necessary for filing charges. BARGAINING UNIT EMPLOYEES involved in a critical incident, who are required to provide a statement, will be given a reasonable amount of time to secure representation prior to the staiernent being given.",48 hour delay in cases of police killings,Contract,4/30/17,Article 12.2
Restricts/Delays Interrogations,Kentucky Police Bill of Rights,"No police officer shall be subjected to interrogation in a departmental matter
 
 involving alleged misconduct on his or her part, until forty-eight (48) hours
 
 have expired from the time the request for interrogation is made to the
 
 accused officer, in writing. The interrogation shall be conducted while the
 
 officer is on duty. The police officer may be required to submit a written
 
 report of the alleged incident if the request is made by the department no later
 
 than the end of the subject officer's next tour of duty after the tour of duty
 
 during which the department initially was made aware of the charges;",48 hour delay,State Law,None,15.520.1C
Restricts/Delays Interrogations,Kentucky Police Bill of Rights,"No threats, promises, or coercions shall be used at any time against any police officer while he or she is a suspect in a criminal or departmental matter.",Limits the type of language and incentives used during interrogation,State Law,None,15.520.1B
Restricts/Delays Interrogations,Laredo,"48 hours prior to being interrogated or asked to otherwise respond to and administrative investigation, the employee under invesigation shall be informed of the genral nature of the investigations, and sufficient information to reasonably apprise the employee of the allegations. ...at the interview....the employee shall be allowed to review...any complaints, GPS/AVL readouts, video recordings, audio recordings and photograghs which have been gathered as part of the administrative investigation. In the event the District Attorney's office or United States Attorney's office directs the city to not allow an employee to review an item or items, the employee shall receive a copy of such correspondence. ...An employee subject to a criminal investigation in addition to an administrative investigation shall not be interviewed by Internal Affairs investigators without being entitled to review the above records. Such employees subject to a criminal investigation will be afforded the rights espoused in Article 27.4",48 hour delay,Contract,9/30/16,Article 27.3 (D)
Restricts/Delays Interrogations,Laredo,The interview shall be completed with reasonable dispatch. Reasonable respites shall be allowed.,Limits interrogations to 'reasonable periods',Contract,9/30/16,Article 27.3 (E)
Restricts/Delays Interrogations,Laredo,"The employee shall not be subjected to any offensive language, nor shall he be
 
 threatened with transfer, dismissal, or other disciplinary action. No promise of
 
 reward shall be made as an inducement to answering questions. Nothing herein is
 
 to be construed as to prohibit the investigating officer from informing the
 
 employee that his conduct can become the subject of disciplinary action, which
 
 could result in disciplinary punishment.",Limits the type of language and incentives used during interrogation,Contract,9/30/16,Article 27.3 (F)
Restricts/Delays Interrogations,Las Vegas,"Employees, whether a witness or subject employee, will receive 48-hours notice of an interview unless such notice is specifically waived in writing with the employee's signature. If a subject employee waives the notice period, this waiver must also be approved by the Association. A reasonable extension will be granted for a subject employee at the request of the Association.",48 hour delay,Contract,6/30/19,Article 4.4.F
Restricts/Delays Interrogations,Las Vegas,"As a guideline, no interview session will extend more than four (4) hours unless the employee agrees to more time in one 24-hour period. Regular breaks will occur during the interview based on any person's request attending the interview.",Limits interrogations to 4 hour sessions,Contract,6/30/19,Article 4.4.K
Restricts/Delays Interrogations,Las Vegas,"When the Department possesses infonnation in an electronic, audio, video, or written fonnat, the investigator will allow the employee an opportunity to explain an answer or refute the negative implication of his/her recollection after the employee is given the opportunity to review the media evidence.",Limits questions that can be asked to involve only one alleged violation,Contract,6/30/19,Article 4.4.D
Restricts/Delays Interrogations,Lincoln,The employee shall contact the Internal Affairs Unit within five (5) calendar days for the purpose of scheduling an interview that must be held within ten (10) days of the date on the written notification.,10 day delay,Contract,8/31/15,"Article 10, section 1(2)"
Restricts/Delays Interrogations,Louisiana Police Bill of Rights,"The police employee or law enforcement officer shall be granted up to thirty days to secure such representation, during which time all questioning shall be suspended.",30 day delay,State Law,None,2531.B.4.b
Restricts/Delays Interrogations,Louisiana Police Bill of Rights,Any interrogation of a police employee or law enforcement officer in connection with an investigation shall be for a reasonable period of time and shall allow for reasonable periods for the rest and personal necessities of such police employee or law enforcement officer.,"Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",State Law,None,2531.B.2
Restricts/Delays Interrogations,Louisville,"No Member shall be subjected to interrogation in a departmental matter involving alleged misconduct on his or her part, until forty-eight (48) hours have expired from the time the request for interrogation is made to the accused officer, in writing. The interrogation shall be conducted while the officer is on duty. The police officer may be required to submit a written report of the alleged incident if the request is made by the department no later than the subject officer's next tour of duty after the tour of duty during which the department initially was made aware of the charges. A Member required to submit a written report shall be informed in writing of the nature ofthe alleged misconduct or rule violations.",48 hour delay,Contract,6/30/15,Article 17.2.A(2)
Restricts/Delays Interrogations,Louisville,"No threats, promises, or coercions shall be used at any time against any police officer while he or she is a suspect in a criminal or departmental matter. Suspension from duty with or without pay, or reassignment to other than an officer's regular duties during the period shall not be deemed coercion. Prior to or within twenty-four (24) hours after suspending the officer pending investigation or disposition of a complaint, the officer shall be advised in writing of the reasons for the suspension.",Limits the type of language and incentives used during interrogation,Contract,6/30/15,Article 17.2.K
Restricts/Delays Interrogations,Louisville,"Only the Member, Public Integrity Unit detective and I or his supervisor and Member's counsel
 
 shall be present during the Member's interview. Members shall not be required to provide a
 
 statement concerning the use of deadly force during a criminal investigation with Professional
 
 Standards Unit detectives present.",Limits the number and types of interrogators in cases of police killings,Contract,6/30/15,Article 17.5.C
Restricts/Delays Interrogations,Maryland Police Bill of Rights,"(2) (i) The interrogation shall be suspended for a period not exceeding 5 BUSINESS days until representation is obtained.
 
 (ii) Within that 5 BUSINESS DAY period, the chief for good cause shown may extend the period for obtaining representation.",5 business day delay,State Law,None,3-104(j)(2)
Restricts/Delays Interrogations,Maryland Police Bill of Rights,All questions directed to the law enforcement officer under interrogation shall be asked by and through one interrogating officer during any one session of interrogation consistent with paragraph (2) of this subsection.,Limits the number of interrogators to one,State Law,None,3-104(h)(1)
Restricts/Delays Interrogations,Maryland Police Bill of Rights,Each session of interrogation shall: (i) be for a reasonable period; and (ii) allow for personal necessities and rest periods as reasonably necessary.,"Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",State Law,None,3-104(h)(2)
Restricts/Delays Interrogations,Memphis,"The employee will not be subjected to any offensive language, coercion or promise of reward as an inducement to answer questions.",Limits the type of language and incentives used during interrogation,Contract,6/30/13,15.3.6
Restricts/Delays Interrogations,Memphis,"The interview will be completed as soon as possible. Reasonable time will be provided for the personal necessities, meals, telephone calls and rest periods when the employee desires them.","Limits interrogations to be completed 'as soon as possible,' gives officers breaks civilians don't get",Contract,6/30/13,15.3.5
Restricts/Delays Interrogations,Miami,"The bargaining unit member's interrogation will take place after all other witness statements have been taken, unless a situation occurs such as: 1) after documented and concerted efforts to locate said witness a witness is thought to be permanently unavailable, 2) The necessity for taking other witness statements becomes apparent after the interrogation of the bargaining unit member who is the subject of the investigation, or 3) A supervisor in the normal course of case review makes a determination that the case must be returned to the investigator for additional witness interviews. Should this ocur, the bargaining unit member who is the subject of the interrogation shall have the opportunity to present rebuttal evidence.",Delays interrogation until all witnesses have been interviewed,Contract,9/30/14,8.1.H
Restricts/Delays Interrogations,Miami,"All questions directed to the officer under interrogation shall be asked by or through one interrogators during any one investigative interrogation, unless specifically waived by the officer under investigation.",Limits the number of interrogators to one,Contract,9/30/14,8.1.C
Restricts/Delays Interrogations,Miami,Interrogating sessions shall be for reasonable periods and shall be timed to allow for such ersonal necessities and rest periods as are reasonably necessary.,Limits interrogations to 'reasonable periods',Contract,9/30/14,8.1.E
Restricts/Delays Interrogations,Miami,"The bargaining unit member under investigation may not be subjected to abusive or offensive language or be threatened with transfer, dismissal or other disciplinary actions. No promise, or reward or threat of action shall be made as an inducement to answering any question.",Limits the type of language and incentives used during interrogation,Contract,9/30/14,8.1.F
Restricts/Delays Interrogations,Milwaukee,"If an employee is required to submit to interrogation by the employer concerning an allegation of misconduct and such interrogation could lead to discipline, demotion or discharge, the interrogation shall be conducted on working days as defined in 227.01(14), Stats. between the hours of 6:00AM and 9:00PM. This provision shall apply only to interrogations that are compelled by a PI-21, and that: 1) are not related to an incident involving death or great bodily harm as defined by statute, or 2) are not related to an incident where exigent circumstances, as determined by the Chief of Police, require immediate interrogations. If an interrogation not meeting either criterion 1) or criterion 2), above, begins before 9:00PM and is not concluded by 9:00PM, the employer shall have the discretion to continue such interrogation beyond 9:00PM.","Limits interrogations to work hours, except in exigent circumstances or cases of police deadly force",Contract,12/31/12,Article 71
Restricts/Delays Interrogations,Minneapolis,"Except where impractical due to the immediacy of the investigation, the summary shall be provided to the employee not less than two days prior to the taking of his/her statement.",48 hour delay,Contract,12/31/19,12.04.a
Restricts/Delays Interrogations,Minneapolis,"Following Critical Incident, neither witness officers nor involved officers shall voluntarily talk to or be asked to voluntarily talk to anyone about the incident, except to: 1) provide details to enable the primary responders or investigators to secure the scene; 2) facilitate the commencement of the investigation; 3) apprehend suspects; 4) allow for officer or civilian safety at the scnee; or 5) consult with legal counsel",Limits the type of questions that can be asked,Contract,12/31/19,26.05.2
Restricts/Delays Interrogations,Minnesota Police Bill of Rights,"Sessions at which a formal statement is taken must be of reasonable duration and must give the officer reasonable periods for rest and personal necessities. When
 
 practicable, sessions must be held during the officer's regularly scheduled work shift. If the session is not held during the officer's regularly scheduled work shift, the officer must be paid by the employing agency at the officer's current compensation rate for time spent attending the session.","Limits interrogations to 'reasonable amount of time,' gives officers breaks that are not given to civilians, limits interrogations to when the officer is on duty, pays officers for interrogation time",State Law,None,626.89.Subd 7
