category,city/state,language,impact,Type of Policy,expiration,section,,,,
Erases Misconduct Record,Antioch,Letters of Reprimand may be purged following a period of five (5) years from the date the Letter was issued.,Reprimands are purged from personnel file after a 5-year period. ,Contract,08/31/2021,Article XIII. E. 3B.,,,,
Erases Misconduct Record,Carlsbad,"Police Chief or an authorized designee shall specify the period of time, from one to four years, that the discipline will remain in the affected employee's personnel records, unless a longer period is required by law.",Disciplinary actions or reprimands will be removed from personnel record within four years. ,Contract,12/31/2018,22.2,,,,
Erases Misconduct Record,Chino,"All written discipline, internal affairs investigations, and citizen complaints, 5 years or older, will be purged from employees' Personnel Files and other City files. All Job Performance Evaluations will be purged from the employee's Personnel Files and other City files 5 years after the date of the end of the Job Performance Evaluation Period.",All IA and citizen complaints will be removed from personnel records after a period of 5 years. ,Contract,06/30/2019,48,,,,
Erases Misconduct Record,Citrus Heights,Any employee seeking the removal of any item from his/her personnel file shall file a written request to the Chief of Police through the chain of command. The Department shall thereafter remove any such item if appropriate or within 30 days provide the employee with a written  explanation why the contested item will not be removed (Government Code 3306.5).,Allows for officer to file requests to remove disciplinary records.,Contract,09/30/2020,21,,,,
Erases Misconduct Record,Davis,"The City agrees to automatically remove Written Reprimands from employee's personnel files after five (5) years and six (6) months as long as the Written reprimand is not referred to in a  subsequent disciplinary document. Then removal of such discipline would be left to the discretion of the City Manager.
",Automatically removes reprimands from personnel file after a period of 5 years.,Contract,06/30/2019,16. 21.,,,,
Erases Misconduct Record,El Paso De Robles,"The City concurs that employees of the Department may initiate an appeal to the Chief to remove from their personnel files any notice of deficiency or letter of reprimand not involving serious disciplinary matters (i.e., suspensions, demotions and dismissal) two years from the date that the notice of deficiency was placed in the file. Given that there are no similar occurrences of the deficiency which have occurred within the two year period, the Chief may authorize removal of the negative material.",Removed disciplinary reprimand after a period of two years. ,Contract,12/31/2018,35,,,,
Erases Misconduct Record,El Cajon,"The City will purge disciplinary actions that do not relate to worker's compensation or unresolved liability claims and are more than 5 years old, provided that no similar disciplinary actions have been imposed on said EMPLOYEE.",Disciplinary records are purges after 5 years. ,Contract,12/31/2019,9.B. ,,,,
Erases Misconduct Record,Elk Grove,"Upon the request of an employee, a written reprimand shall be removed from an employee's personnel file after two (2) years from the original date of issuance; provided, however, that the employee has not been subject to disciplinary action during the two (2) year period.",Allows officers to removed disciplinary records after a 2 year period. ,Contract,06/30/2019,XII.4.F.,,,,
Erases Misconduct Record,Fullerton,"Upon written request from the employee, any adverse material and references thereto which resulted in non-Skelly discipline (i.e., letters of reprimand, letters of counseling and supervisor action reports, but not performance reviews) shall be removed from the file.",Allows for officers to file requests to remove parts of personnel files.,Contract,06/30/2019,37.E.,,,,
Erases Misconduct Record,Menlo Park,"The City may rely on verbal or written warnings not made a part of the file issued within the preceding twelve (12) months. In cases where an officer is suspended or demoted and such discipline is
sustained, a record of such action shall be kept in the personnel file and any such
documentation supporting such action shall be kept in a separate file in the Human
Resources Department.",Prevents some disciplinary records from appearing in personnel file. ,Contract,06/30/2017,12.4. ,,,,
Erases Misconduct Record,Menlo Park,"An employee who has received a formal reprimand and has
completed twenty-four (24) months of work without further
disciplinary action may request said fonnal reprimand be
removed from the employee's personnel file. ",Allows officers to request disciplinary records to be removed from personnel files. ,Contract,06/30/2017,12.3.4.2.,,,,
Erases Misconduct Record,Milpitas,"The Human Resources Director shall remove a letter of reprimand from a sworn
personnel file or any other file used for personnel purposes upon written request by
the sworn employee provided there have been no additional disciplinary actions of a
similar nature during the subsequent twelve (12) months. The Human Resources
Director shall remove a letter of reprimand from a non-sworn personnel file or any
other file used for personnel purposes upon written request by the non-sworn
employee provided there have been no additional disciplinary actions of a similar
nature during the subsequent twenty-four (24) months. Any letter of reprimand shall
be considered removed from the employee’s personnel file or any other file used for
personnel purposes after twelve (12) or twenty-four (24) months from the date of the
written reprimand.
If the employee’s performance appraisal review contains any reference to the letter of
reprimand which has been removed from the employee’s personnel file, that section or
page of the employee’s performance appraisal review shall be rewritten so that any
reference to the letter of reprimand is deleted.",Letters of reprimand can be removed from personnel files nor can they be referenced in performance reviews. ,Contract,12/31/2021,4.05.2.,,,,
Erases Misconduct Record,Murrieta ,A decision not to impose discipline shall be accompanied by a directive from the city manager to delete all references to the appealed action from the employee's personnel file.,Will not include unsustained disciplinary actions in the personnel file. ,Contract,12/31/2019,17.S,,,,
Erases Misconduct Record,National City,"The employee's personnel file will not contain information relating to the employee's background investigation, Civil Service Examination results pertaining to initial hiring or promotional examinations, legal correspondence, workers' compensation records, aside from injury claims or any ongoing or incomplete internal investigations or citizens complaints. These documents shall be maintained in separate files by the Chief of Police or the Personnel Officer.",Excludes civilian complaints from being included in the officers' personnel file. ,Contract,12/31/2018,22.6. ,,,,
Erases Misconduct Record,National City,"Discipline shall remain in the affected employee's personnel file for five (5) years with the exception of a “Written Notice of Deficiency,” which shall remain in the personnel file for two years from the date of issuance. At the end of said period of time, the disciplinary action shall be removed from the employee's file provided that no ensuing similar discipline has been imposed. Consistent with the above provisions, all materials of this nature more than five (5) years old shall be removed from employees' personnel files.",Removes disciplinary records after a 5-year period.,Contract,12/31/2018,22.8.,,,,
Erases Misconduct Record,Oakland,"External complaints that are placed in the employee's personnel file shall be removed after five (5) years if there are no subsequent complaints regarding the same behavior/concerns. It is expressly understood that this paragraph shall not apply to the retention of complaints in the files of the Internal Affairs Department pursuant to the Negotiated Settlement Agreement (NSA).
In the event that the Department uses oral reprimands, Unit
Commanders/Supervisors shall purge information noted on subordinates' oral reprimand records that is older than three (3) years old by completely blacking out the old entry(ies) and initialing and dating the correction(s), except as required by the NSA.
In the event the verification of the oral reprimand is listed on a separate card or
documentation the entire document or card shall be removed from the file and
destroyed. The documentation of a reprimand will be purged only if no new offenses of
a similar nature have occurred in the interim.",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of three years. ,Contract,06/30/2019,X.I. ,,,,
Erases Misconduct Record,Oakland,No documentation regarding the Step Four (4) process shall be placed in any personnel file or other official file maintained for the purpose of making personnel decisions.,Excludes certain disciplinary appeals from appearing in personnel file. ,Contract,06/30/2019,C.6. ,,,,
Erases Misconduct Record,Ontario,"Documentation of a disciplinary action of 2 working day suspension or less shall be removed from an employee’ official personnel file(s) if 5-years has passed since the effective date of the action and there
have been no further disciplinary actions of a similar nature during the 5 year period. The employee
must request removal of such documentation, in writing, to the Chief of Police, who shall make the final
determination as to whether there have been no further disciplinary actions of a similar nature.
Documentation of disciplinary actions in excess of a two working day suspension may be removed from
an officer’s file after five years, at the sole discretion of the Chief of Police. 
",Minor disciplinary actions are excluded from personnel files are removed after a period of five years. ,Contract,06/30/2018,VI.6.04.,,,,
Erases Misconduct Record,Palo Alto,"Subject to state law requirements, employees may request that disciplinary actions be sealed according to the following schedule:
(1) Written reprimands with no recurrence after one (1) year.
(2) Disciplinary probation after three (3) years from the implementation of such
probation, if no other disciplinary action has occurred during that period.
(3) Suspensions less than three (3) days without recurrence, after two (2) years.
(4) Suspensions more than three (3) days but less than six (6) days, after three (3)
years.
(5) Suspensions of six (6) days or more, after five (5) years.
For the purpose of these sections, the time starts from the time of action following
the Skelly process (day discipline is imposed).
Written requests for the sealing of disciplinary actions should be directed to the Personnel and Training Coordinator.",Prevents certain types of disciplinary records from being included into the personnel file. ,Contract,06/30/2021,37.E.1. ,,,,
Erases Misconduct Record,Redwood City,"At the request of the employee, a letter of reprimand may be
removed from the employee's file, at the discretion of the Police Chief, if the employee
has not been subject to subsequent disciplinary action in which the minimum corrective
action imposed is a letter of reprimand during the initial two (2) year period following the
issuance of the letter of reprimand the employee is requesting be removed from his/her
file.",Allows officer to file request to remove reprimands from file. ,Contract,07/31/2018,16,,,,
Erases Misconduct Record,Rialto,"To a transcribed copy of any notes made by a stenographer, or to any reports or complaints made by investigators or other persons, except those, which are deemed by the investigating agency to be confidential. No notes or reports, which are deemed to be confidential, may be entered in employee’s personnel file;",Prevents certain disciplinary complaint or reports from being entered into the personnel file. ,Contract,07/31/2016,22.11.,,,,
Erases Misconduct Record,San Luis Obispo," If no discipline is to be imposed, the notice of decision shall so indicate and the personnel director shall be directed to delete from the employee’s personnel file all references to the matter",Personnel file doesn't include unsustained disciplinary allegations. ,Contract,06/30/2021,2.36.330.,,,,
Erases Misconduct Record,San Mateo,"After a five (5) year period, if there has not been subsequent discipline, the City shall remove from the employee's personnel file, or any other file used by the employer for any personnel purpose, any written record of an Internal Affairs Investigation not
resulting in ""Sustained"" allegations of dishonesty or moral turpitude.
After a five (5) year period, if the employee has not been involved in any subsequent
""Party Most at Fault"" or ""Avoidable"" (""Avoidable"" for purpose of administrative review
or progressive discipline) traffic collisions, the city shall remove from the employee's
personnel file, or any other file used by the employer for any personnel purpose, any
written record of prior traffic collisions.",City will remove disciplinary documents after a 5 year period. ,Contract,08/11/2018,16.4.,,,,
Erases Misconduct Record,Santa Cruz," Written reprimands shall be placed in the employee’s personnel file for a period not to exceed five (5) years, after which they will be destroyed. An employee shall have the right to prepare a written
response to the reprimand and have said response placed in his/her personnel file. An employee may appeal the supervisor’s decision to issue a written reprimand to the Chief of Police by filing
a written appeal to the Chief of Police within ten (10) working days of receipt of the reprimand. The written appeal may include a request to present the appeal orally to the Chief of Police. If the Chief is not reasonably available, s/he will render a decision from the written appeal. An employee may request an extension of the time to respond for justifiable reasons. ",Removes written reprimands in officer files after a period of 5 years. ,Contract,03/06/2020,26,,,,
Erases Misconduct Record,Tracy,"Citizen complaints, reports and findings which are at least five years old shall be purged except where there is litigation pending involving the complaint, pursuant to Sections 832.5, 832.7 and 832.8 of the California Penal Code.",Citizen complaints are erased after a 5 year period.,Contract,06/30/2021,21.9,,,,
Erases Misconduct Record,Turlock,"Written reprimands, and all copies, shall be purged from an employee's personnel file, or any other file, after five (5) years from the date that the document was placed in the personnel file.",Written reprimands are purged after a 5-year period. ,Contract,06/30/2019,32.02,,,,
Erases Misconduct Record,Tustin,"Copies of the City Manager’s decision, including the arbiter’s recommendations(s) shall be filed where appropriate, including the employee’s personnel file, unless no discipline is upheld by the City Manager. ",Personnel file excludes disciplinary appeals that are successful.,Contract,06/30/2018,36.10.,,,,
Erases Misconduct Record,Westminster,"All disciplinary actions will be purged from the Department personnel file in accordance with duly adopted Department Policies, and will not be used in future disciplinary actions.",All disciplinary actions will be purged from the personnel file. ,Contract,06/30/2020,XXVII.1,,,,
Erases Misconduct Record,Yuba,"At the conclusion of two years, the employee can ask that the counseling memo be removed from the personnel file. At that time or any time thereafter that it is discovered that a counseling memo exists in the personnel file after two years, all copies shall be removed from any file maintained by the City, including the department or supervisor, and given to the employee. No future reference to the counseling memo will be made in a subsequent disciplinary process or performance evaluation. However, should an employee receive a subsequent counseling memo, or other disciplinary action within the two year period, a counseling memo shall not be discarded until a two year period has passed in which no counseling memo or disciplinary action has been issued.",Allows officer to remove letters of counseling after a period of two years. ,Contract,06/30/2019,Memo,,,,
Erases Misconduct Record,Carlsbad,"All investigations of personnel complaints, whether originating from a citizen or internally, shall
be considered confidential peace officer personnel files. The contents of such files shall not be
revealed to other than the involved employee or authorized personnel except pursuant to lawful
process.",Prevents internal investigation complaints from the public. ,Policy Manual,,1020.8.1,,,,
Erases Misconduct Record,Carlsbad,"All sustained citizen's complaints shall be maintained for a period of at least five years (Penal Code
§ 832.5). All internally initiated complaints shall be maintained at least two years (Government
Code § 34090 et seq.).",Personnel file records with sustained complaints are deleted. ,Policy Manual,,1020.8.1,,,,
Erases Misconduct Record,Vacaville,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,2016,,LEOBR
Erases Misconduct Record,Vacaville,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,2016,,
Erases Misconduct Record,Carlsbad,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,2016,,LEOBR
Erases Misconduct Record,Carlsbad,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,2016,,
Erases Misconduct Record,Mountain View,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,2016,,LEOBR
Erases Misconduct Record,Tracy,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1013.8,,,,LEOBR
Erases Misconduct Record,Culver City,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1011.8,,,,LEOBR
Erases Misconduct Record,Daly City,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1025.8,,,,LEOBR
Erases Misconduct Record,Chula Vista,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1025.8,,,,LEOBR
Erases Misconduct Record,Chula Vista,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,448.7.1,,,,
Erases Misconduct Record,Walnut Creek,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1017.8,,,,LEOBR
Erases Misconduct Record,Irvine,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1013.8,,,,LEOBR
Erases Misconduct Record,Alameda,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Alameda,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Westminster,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1025.8,,,,LEOBR
Erases Misconduct Record,Westminster,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Livermore,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Sunnyvale,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1012.8,,,,LEOBR
Erases Misconduct Record,Salinas,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Fairfield,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Downey,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Downey,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Pleasanton,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Pleasanton,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Inglewood,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Inglewood,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Union City,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Union City,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Richmond,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Richmond,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Pomona,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1008.8,,,,LEOBR
Erases Misconduct Record,Pomona,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,424.7.1,,,,
Erases Misconduct Record,South San Francisco,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1027.8,,,,LEOBR
Erases Misconduct Record,South San Francisco,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,446.7.1,,,,
Erases Misconduct Record,Simi Valley,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1012.8,,,,LEOBR
Erases Misconduct Record,Simi Valley,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,422.7.1,,,,
Erases Misconduct Record,Pasadena,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Fremont,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Fremont,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Concord,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Concord,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Glendale,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1014.8,,,,LEOBR
Erases Misconduct Record,Alhambra,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1025.8,,,,LEOBR
Erases Misconduct Record,Alhambra,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.8.1,,,,
Erases Misconduct Record,Whittier,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,925.8,,,,LEOBR
Erases Misconduct Record,Whittier,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Fontana,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Fontana,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Redlands,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1010.8,,,,LEOBR
Erases Misconduct Record,Modesto,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Modesto,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,South Gate,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
