category,city/state,language,impact,Type of Policy,expiration,section
Limits Oversight / Discipline,Baltimore,"If an accused employee declines the option of including an AU on a Departmental Hearing Board as defined in Paragraph C.3 herein, the accused
 
 employee shall be entitled to three (3) peremptory challenges of persons designated as members of the Departmental Hearing Board. Only two (2) peremptory
 
 challenges may be used to strike the Hearing Board Chairperson. No individual assigned to Traffic may sit as a member of the Traffic Accident Review Board. The Department agrees to choose panel members on a random basis by computer from those management and unit members who are in the trial board pool. The Department shall give the Lodge notice and opportunity to be present when the panel is chosen and the Lodge may designate either Lodge Representative or designee who may observe the random selection of the panel. The Department will increase the number of officers in the pool to 50 and maintain approximately 30 sergeants and 20 lieutenants in the pool. The pool shall also include command staff under the Deputy Commissioner rank other than those who have been excluded for bona fide reasons by the Commissioner or his designee.","Allows officers to remove three members of the disciplinary hearing board, ensuring a board of officers that are more favorable to the officer involved",Contract,9/30/16,16.C.4
Limits Oversight / Discipline,Baltimore,No civilians other than an Administrative Law Judge may serve on a Departmental Hearing Board.,"Limits civilian discipline power, prevents civilians other than Admin Law Judge from serving on a disciplinary hearing board",Contract,9/30/16,16.D
Limits Oversight / Discipline,Baltimore,"A unit employee shall have the option of a Departmental Hearing Board conducted by a panel composed of an Administrative Law Judge (hereinafter ""AU"")
 
 and three sworn members, one being of equal rank. If the employee is represented by counsel, the counsel shall, with the consent of the member, have the option of selecting the AU process. If the employee is unrepresented, the employee shall make the selection. The AU will act as the Departmental Hearing Board Chairperson and make evidentiary and legal rulings but will not be a voting member of the panel during deliberations on verdict or sentencing. In no event shall an AU be appointed to a Departmental Hearing Board without the consent of the accused employee or his/her counsel of record.","Limits civilian discipline power, prevents the Admin Law Judge (the only civilian on the disciplinary hearing board) from having voting power and requires the officer/officer's lawyer to consent to the appointment of then Admin Law Judge",Contract,9/30/16,16.C.3
Limits Oversight / Discipline,Boston,The decision of the arbitrator shall be final and binding upon the parties,Allows officers to overturn discipline through binding arbitration.,Contract,6/30/16,6.5
Limits Oversight / Discipline,California Police Bill of Rights,"If, after investigation and any predisciplinary response or procedure, the public agency decides to impose discipline, the public agency shall notify the public safety officer in writing of its decision to impose discipline, including the date that the discipline will be imposed, within 30 days of its decision, except if the public safety officer is unavailable for discipline.",Delays discipline for 30 days after an officer has been notified,State Law,None,3304.d.2.H.f
Limits Oversight / Discipline,Chandler,"Material purged from a unit members files in accordance with the below procedures or allegations about a unit member which are unfounded, exonerated, not sustained or a policy failure will not be used in future performance ratings or disciplinary actions",Material purged or allegations which are not sustained are not used to inform the future disciplinary decisions,Contract,6/30/16,1.4.I
Limits Oversight / Discipline,Chicago,"An Arbitrator designated by the parties shall issue a Summary Opinion, in accordance with the standard procedures employed by the parties and their mutual past practices, which shall be final and binding on the parties and there shall be no further review of the reprimand or suspension under this Agreement.","Allows officers to overturn discipline through binding arbitration, except for dismissal.",Contract,6/30/17,6.2
Limits Oversight / Discipline,Chicago,"No photo of an Officer under investigation shall be made available to the media prior to a
 
 conviction for a criminal offense or prior to a decision being rendered by the Police Board, except
 
 where required by law.",Prevents the identity of the officer from being released to the public/media unless they are found to have committed misconduct by the board or courts,Contract,6/30/17,6.4
Limits Oversight / Discipline,Chicago,"The identity of an Officer under investigation shall not be made available to the media unless there
 
 has been a criminal conviction or a decision has been rendered by the Police Board (or by the
 
 Superintendent), except where required by law. However, if the Officer is found innocent, the
 
 Officer may request and the Department shall issue a public statement.",Prevents identification of officers unless they are found to have committed misconduct by the board or courts,Contract,6/30/17,6.9
Limits Oversight / Discipline,Cincinnati,"Disciplinary actions subject to this grievance and arbitration procedure shall include all disciplinary actions except for discharges and terminations. Employees who are discharged or terminated shall, at his or her option, select this grievance and arbitration procedure.
 
 The decision of the arbitrator shall be binding.",Allows officers to overturn discipline through binding arbitration,Contract,5/21/16,Article III
Limits Oversight / Discipline,Cincinnati,"Records maintained by the Police Department, or any other City agency or department
 
 which allege misconduct or other breach of discipline, for a period of more than three (3) years
 
 from the date of the alleged misconduct or breach of discipline or division knowledge of such
 
 misconduct or breach of discipline shall not be used to support any disciplinary action or charge
 
 of misconduct brought against a sworn member of the Police Department after the expiration of
 
 said three (3) year period. This provision shall not apply to the City's use of entries or copies of
 
 prior disciplinary actions which have been placed in an employee's personnel service records,
 
 unless such entries or copies have been or should have been expunged pursuant to any other
 
 provisions of this Article XI of the Labor Agreement",Prevents prior misconduct from being considerered in new cases against an officer,Contract,5/21/16,Article X2
Limits Oversight / Discipline,Cleveland,"Discipline shall fall under the grievance procedure and shall be based upon internal investigation within the Department of Public Safety.
 
 all decisions of arbitrators shall be final, conclusive, and binding on the City, the Union, and the members.",Allows officers to overturn discipline through binding arbitration,Contract,3/13/16,XXII
Limits Oversight / Discipline,Cleveland,"Complaints against a bargaining unit member, when designated by the Chief to be unfounded, shall not be included in his personal file, and shall not be used in any subsequent disciplinary proceeding or in making promotion decisions.",Prevents prior misconduct from being considerered in new cases against an officer,Contract,3/13/16,8.12.E
Limits Oversight / Discipline,Cleveland,The bargaining member's address and photograph shall not be given to press or news media without the member's express consent,Prevents the identity of the officer from being released to the public/media,Contract,3/13/16,8.12.D
Limits Oversight / Discipline,Columbus,It is the policy of the City that corrective/disciplinary action shall be issued by the lowers level of supervision.,"Limits civilian discipline power, puts discipline power in the hand of police supervisors",Contract,12/8/17,10.4
Limits Oversight / Discipline,Columbus,"A grievance resulting from an Internal Affairs Bureau and/or EEO investigation shall begin at Step 2.""
 
 ""The decision of the arbitrator shall be final and binding on all parties.",Allows officers to overturn discipline through binding arbitration,Contract,12/8/17,8.16.B
Limits Oversight / Discipline,Corpus Christi,"the decision of the arbitrator shall be final and binding upon the aggreived employee, the Association and the City.",Allows officers to overturn discipline through binding arbitration,Contract,8/30/19,"A8, D, 4"
Limits Oversight / Discipline,Delaware Police Bill of Rights,"(a)_An official record including testimony and exhibits shall be kept of the hearing.
 
 
 
 (b)_The hearing shall be conducted within the department by an impartial board of officers. The prosecuting party and the officer and/or the officer's representative shall be given an opportunity to present evidence and argument with respect to the issues involved. Both the department and the officer may be represented by legal counsel. In the event an impartial board cannot be convened, then a board of 3 officers or more shall be convened under the auspices of the Delaware Criminal Justice Council. Any officer appointed under this subsection, either within the department or under the auspices of the Criminal Justice Council, shall not be liable for civil damages from any acts or omissions arising out of such officer's service on the board as long as the member of the board of officers acted in good faith and without malice in carrying out that member's responsibilities or duties. A member of the board of officers is presumed to have acted in good faith and without malice unless proven otherwise.
 
 
 
 (c)_Evidence which possesses probative value commonly accepted by reasonable and prudent persons in the conduct of their affairs shall be admissible in evidence and given probative effect. The tribunal conducting the hearing shall give effect to the rules of privilege recognized by law and may exclude incompetent, irrelevant, immaterial and unduly repetitious evidence. All records and documents which any party desires to use shall be offered and made a part of the record. Documentary evidence may be received in the form of copies of excerpts or by incorporation by reference.
 
 
 
 (d)_Every party shall have the right of cross-examination of witnesses who testify and may submit rebuttal evidence.
 
 
 
 (e)_The tribunal may take notice of judicially cognizable facts and in addition may take notice of general, technical or scientific facts within its specialized knowledge. Parties shall be notified beforehand of the materials so noticed by the trial board. No law-enforcement officer may be adjudged guilty of any offense unless the hearing tribunal is satisfied that guilt has been established by substantial evidence.","Limits civilian discipline power, allows officers to appeal discipline to a hearing of all law enforcement, which can overturn the decision",State Law,None,9205
Limits Oversight / Discipline,Delaware Police Bill of Rights,All records compiled as a result of any investigation subject to the provisions of this chapter and/or a contractual disciplinary grievance procedure shall be and remain confidential and shall not be released to the public.,Prevents the public from accessing information about internal investigations,State Law,None,9200.C12
Limits Oversight / Discipline,Delaware Police Bill of Rights,No formal complaint against a law-enforcement officer seeking dismissal or suspension or other formal disciplinary action shall be prosecuted under departmental rule or regulation unless the complaint is supported by substantial evidence derived from an investigation by an authorized member of the department or another officer who is certified by the Council on Police Training,Limits civilian power to conduct misconduct investigations,State Law,None,9200.C3
Limits Oversight / Discipline,Detroit,"Expedited Arbitration. To the extent that a dispute regarding a suspension of more than
 
 three (3) days or the discharge of an Employee cannot be resolved through the Chiefs
 
 Hearing or mediation (if applicable), an Employee, with the approval of the Association,
 
 will have the right to appeal the disciplinary action to expedited arbitration. The
 
 disciplinary action must be appealed to arbitration by providing written notice to the
 
 Department within seven (7) days of the date of the decision resulting from the Chiefs
 
 Hearing. Any information requests shall accompany the request to arbitrate. The
 
 Department will provide responsive information to the extent required by applicable law,
 
 and within thirty (30) days of receipt of the Associations requests. The arbitration
 
 hearing must be held within sixty (60) days of the date the appeal was filed by the
 
 Employee, so long as an arbitrator on the panel has availability within a sixty (60) day
 
 period.
 
 The Chief of Police, at his or her sole discretion, may rescind or
 
 mitigate any disciplinary action at any step of the disciplinary process including, but not
 
 limited to, after the conclusion of an arbitration. However, the Chief of Police shall have
 
 no authority to increase any disciplinary action after the conclusion of an arbitration.",Allows officers to overturn discipline through binding arbitration,Contract,12/31/19,9.E
Limits Oversight / Discipline,Detroit,"All personnel records which include home addresses, phone numbers and pictures of members shall be kept confidential and never released to any person other than the officials of the Department or upon the written authorization of the member involved.",Prevents the identity of the officer from being released to the public/media,Contract,12/31/19,24.A
Limits Oversight / Discipline,Detroit,"Neither the home address nor the photograph of any member suspected of any
 
 wrongdoing shall be given to the press or the news media without the written
 
 consent of the member.",Prevents the identity of the officer from being released to the public/media,Contract,12/31/19,16.J.8
Limits Oversight / Discipline,El Paso,"In Disciplinary Appeals, the
 
 hearing examiner or arbitrator shall have the authority to: (a) sustain discipline;
 
 (b) reverse discipline (except that discipline shall not be increased); (c) modify
 
 discipline; and, (d) as applicable, award back pay, in whole or in part. In cases
 
 of termination or indefinite suspension, the hearing examiner or arbitrator has
 
 discretion to reinstate an employee and impose an unpaid suspension,
 
 notwithstanding the ruling in City of Waco v. Kelley. 309 S.W.3d 536 (Tex.
 
 2010).
 
  The decision of the hearing examiner or arbitrator, if rendered in
 
 accordance with the provisions of Section F. of this Article, shall be final and
 
 binding upon the Association, all bargaining unit employees, and the City.",Allows officers to overturn discipline through binding arbitration,Contract,8/31/18,Article 21.F
Limits Oversight / Discipline,El Paso,"(f) The Director or the Director's designee may not release any information contained in a fire fighter's or police officer's permanent personnel file without first obtaining the person's written permission, unless the release of the information is required by law.",Prevents personnel files from being released without a court order or permission of the officer involved,Contract,8/31/18,Appendix E.3.(f)
Limits Oversight / Discipline,El Paso,"The Chief, and only the Chief, may order or request a polygraph examination.",No civilian power to issue a lie detector test,Contract,8/31/18,Article 30.3.A
Limits Oversight / Discipline,Florida Police Bill of Rights,"A complaint review board shall be composed of three members: One member selected by the chief administrator of the agency or unit; one member selected by the aggrieved officer; and a third member to be selected by the other two members. Agencies or units having more than 100 law enforcement officers or correctional officers shall utilize a five-member board, with two members being selected by the administrator, two members being selected by the aggrieved officer, and the fifth member being selected by the other four members. The board members shall be law enforcement officers or correctional officers selected from any state, county, or municipal agency within the county. There shall be a board for law enforcement officers and a board for correctional officers whose members shall be from the same discipline as the aggrieved officer. The provisions of this subsection shall not apply to sheriffs or deputy sheriffs.",Limits civilian participation on complaint review boards,State Law,None,Section 112.532.2
Limits Oversight / Discipline,Florida Police Bill of Rights,"A complaint review board shall be composed of three members: One member selected by the chief administrator of the agency or unit; one member selected by the aggrieved officer; and a third member to be selected by the other two members. Agencies or units having more than 100 law enforcement officers or correctional officers shall utilize a five-member board, with two members being selected by the administrator, two members being selected by the aggrieved officer, and the fifth member being selected by the other four members. The board members shall be law enforcement officers or correctional officers selected from any state, county, or municipal agency within the county. There shall be a board for law enforcement officers and a board for correctional officers whose members shall be from the same discipline as the aggrieved officer. The provisions of this subsection shall not apply to sheriffs or deputy sheriffs.",No civilian participation on complaint review boards,State Law,None,Section 112.532.2
Limits Oversight / Discipline,Florida Police Bill of Rights,"Any person who is a participant in an internal investigation, including the complainant, the subject of the investigation and the subject's legal counsel or a representative of his or her choice, the investigator conducting the investigation, and any witnesses in the investigation, who willfully discloses any information obtained pursuant to the agency's investigation, including, but not limited to, the identity of the officer under investigation, the nature of the questions asked, information revealed, or documents furnished in connection with a confidential internal investigation of an agency, before such complaint, document, action, or proceeding becomes a public record as provided in this section commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083. However, this subsection does not limit a law enforcement or correctional officer's ability to gain access to information under paragraph (2)(a). Additionally, a sheriff, police chief, or other head of a law enforcement agency, or his or her designee, is not precluded by this section from acknowledging the existence of a complaint and the fact that an investigation is underway.",Prevents the identity of the officer or information about the investigation from being released to the public/media,State Law,None,Section 112.533.4
Limits Oversight / Discipline,Fort Wayne,"The Employee under investigation shall not be subjected to visits by the press or news media without his/her express consent, nor shall his/her name, home address or photograph be given to the press or news media without his/her express consent.",Prevents the identity of the officer from being released to the public/media,Contract,12/31/10,7.5.D
Limits Oversight / Discipline,Fort Worth,An Officer who appeals a disciplinary action may elect to appeal to an independent thirdparty Hearing Examiner.,"Allows officers to overturn discipline through appeal to a Hearing Examiner, selected with the agreement of the police union.",Contract,9/30/16,Article 6.A
Limits Oversight / Discipline,Fort Worth,"All video recordings, audio recordings, digital files, written statements, other documents, photographs, OPS/ A VL readings, Taser readouts, and any other type of information collected during the course of an administrative investigation shall remain in the custody of the Internal Affairs Section.",Limits civilian access to evidence needed to conduct misconduct investigations,Contract,9/30/16,Article 7.2.G
Limits Oversight / Discipline,Glendale,"Discipline served to a represented employee, will not be used to aggravate discipline
 
 beyond the following time frames: 3 years-non punitive, 5 years punitive the notice of intent service
 
 date(s) will be used for the starting/ending time period for the above. Any exception to this time
 
 frame shall occur only at the direction of the Chief and a written explanation will be provided to the
 
 affected employee.",Prevents consideration of past discipline in current investigations after 3-5 years,Contract,6/30/16,4.4.7
Limits Oversight / Discipline,Henderson,The arbitrator's decision shall be final and binding,Allows officers to overturn discipline through binding arbitration,Contract,6/30/10,Article 3.3
Limits Oversight / Discipline,Henderson,"It is understood that purging of Internal Affairs files directly associated with the
 
 disciplinary actions mentioned above will be purged in like fashion. All files that the
 
 CITY and DEPARTMENT maintain will be purged under the same schedule.
 
 Purged documents may be retained by the Department pursuant to any applicable
 
 statutory document retention schedules; however, such documents may not be
 
 used by the Department for disciplinary purposes in the future. Evidence of purged
 
 discipline can only be raised for rebuttal purposes in an administrative hearing if
 
 the employee claims he has no disciplinary history or as it pertains to Brady v
 
 Maryland 373 U.S. 83 (1963).","Even if retained, disciplinary records that are supposed to be purged cannot be considered in subsequent investigations",Contract,6/30/10,Article 25.5.2
Limits Oversight / Discipline,Hialeah,"Except when an employee has been arrested or indicted or charged by a prosecuting official, the Department, on its own initiative, will not release a photograph or home
 
 address of an employee under investigation without the employee's written permission and permission of the Chief of Police.",Prevents the identity of the officer from being released to the public/media,Contract,9/30/16,25.2.L
Limits Oversight / Discipline,Hialeah,"No employee shall serve a suspension without pay until an Arbitrator or the Personnel Board has rendered a decision, whichever procedure is applicable.
 
 Employees may appeal suspensions either through the Contractual Grievance Procedure (Article 29) or through the Personnel Board, except for Police Officers in the Academy and Sworn Police Officers serving the initial probationary period.",Allows officers to overturn discipline through binding arbitration,Contract,9/30/16,25.3.D
Limits Oversight / Discipline,Honolulu,"Confidentiality - All matters under this article, including investigations, shall be considered confidential.",Prevents the public from accessing information about internal investigations,Contract,6/30/17,"A12, D. 4."
Limits Oversight / Discipline,Honolulu,"Performance Requirements or Disciplinary Reasons Dispute - When
 
 the dispute concerns an adverse action resulting from an employees failure to meet
 
 performance requirements of the employees position, a Performance Judge shall
 
 make the final and binding decision in lieu of an Arbitrator. If the Union alleges that
 
 the adverse action was not due to a failure to meet performance requirements but for
 
 disciplinary reasons without just cause, the Performance Judge shall first proceed
 
 with making a determination on the merits of the Employers action as provided in 5
 
 below, and if adverse action taken was based on failing to meet performance based
 
 requirements, the Performance Judge shall issue a final and binding decision. If the
 
 Performance Judge determines that the adverse action was not based on
 
 performance requirements, the Performance Judge shall then determine, based on
 
 appropriate standards of review, whether the disciplinary action was with or without
 
 just cause and render a final and binding decision.",Allows officers to overturn discipline through binding arbitration,Contract,6/30/17,"A32, M. 2."
Limits Oversight / Discipline,Houston,The Labor Relations Committee (LRC) shall have the sole and exclusive authority to select and maintain twelve qualified independent hearing cexaminers (IHE's) to preside over all appeal sof discipline in which the aggrieved officer has elected to appeal his discipline to an IHE instead of the Police Officer's Civil Service Commission.,Allows officers to overturn discipline through binding arbitration,Contract,12/31/18,Article 26
Limits Oversight / Discipline,Houston,"All mediations shall be conducted as required by Departmental rules and guidelines and state law. Accordingly, all discussions and contents of mediations shall be confidential. Mediations that do not result in an amicable resolution may not be disclosed to any third parties in any form or fashion by any of the parties or participants. Mediations that are resolved in agreement will be confidential to the extent allowed by law.",Prevents the public from accessing information about mediation results and processes,Contract,12/31/18,Article 29 2
Limits Oversight / Discipline,Houston,"The Chief, or in his absence from the City or disability, his designee may impose a disciplinary suspension upon an officer for a violation of civil service and department rules.",No civilian discipline power,Contract,12/31/18,31.1
Limits Oversight / Discipline,Indianapolis,"If an officer has a consecutive five-year period free of discipline, any disciplinary action prior to that five-year period will not be considered by the Chief when imposing discipline or recommending discipline to the Merit Board, unless such prior discipline was based upon acts of a criminal nature.",Prevents consideration of past discipline in current investigations after 5 years,Contract,12/31/16,4.11
Limits Oversight / Discipline,Jacksonville,"No suspension with loss of pay shall be implemented until any requested civil service or arbitration hearing has been held and an opinion rendered, except as provided for in Article 13. (This shall not apply to terminations).",Allows officers to overturn discipline through binding arbitration,Contract,9/30/14,Article 10.3.B
Limits Oversight / Discipline,Jersey City,"The decision of the arbitrator shall be submitted to the City and the Association and shall be final and binding on both parties.
 
 No Police Officer shall be discharged, discilined, reprimanded, reduced in rank, compensation, position, or deprived of any emplyment advantage or given an adverse evaluation of his/her serice without just cause. Any such action asserted by the City or any agent or representative thereof shall be subject to the grievance procedure set forth herein, including inding arbitration.",Allows officers to overturn discipline through binding arbitration,Contract,12/31/16,24.4
Limits Oversight / Discipline,Kansas City,"Unless otherwise agreed to in writing, it is expressly agreed that BOPC shall possess and have the sole and exclusive right to: c. Hire, assign, promote, transfer or lay off employees",No civilian discipline power,Contract,4/30/17,Article 2
Limits Oversight / Discipline,Kansas City,"Unless otherwise agreed to in writing, it is expressly agreed that BOPC shall possess and have the sole and exclusive right to: h. Develop training and selection programs",No civilian power to influence training practices,Contract,4/30/17,Article 2
Limits Oversight / Discipline,Kansas City,"Unless otherwise agreed to in writing, it is expressly agreed that BOPC shall possess and have the sole and exclusive right to: j. Discipline, demote or discharge for cause as exclusively determined by the Board of Police Commisioners pursuant with Chapter 84 of Missouri statutes",No civilian discipline power,Contract,4/30/17,Article 2
Limits Oversight / Discipline,Kentucky Police Bill of Rights,"No police officer as a condition of continued employment by the local unit of
 
 government shall be compelled to speak or testify or be questioned by any
 
 person or body of a nongovernmental nature; and",Prevents officers from being compelled to testify in civilian non-governmental forum or structure,State Law,None,15.520.1G
Limits Oversight / Discipline,Kentucky Police Bill of Rights,"When a police officer has been charged with a violation of departmental rules or regulations, no public statements shall be made concerning the alleged violation by any person or persons of the local unit of government or the police officer so charged, until final disposition of the charges;",Prevents public statements regarding an investigation until it is concluded,State Law,None,15.520.1F
Limits Oversight / Discipline,Laredo,"If an officer is suspended indefinitely, and the officer does not agree with the suspension, the employee has the option to appeal to the Firefighters' and police officers' Civil Service Commission or arbitration. If the appeal is to be settled by arbitration, the employee and the City Attorney (the parties) shall attempt to mutually agree on an arbitrator.",Allows officers to overturn discipline through binding arbitration,Contract,9/30/16,Article 26.4
Limits Oversight / Discipline,Las Vegas,"For disputes regarding the Sheriff's decision following a
 
 UOFRB for something less than termination and to resolve a dispute as to whether a matter meets the definition of a grievance: TI1e Association may request, within 30 calendar days of receipt of either Labor Relations' determination that a matter does not meet the definition of a grievance, or the Sheriff's UOFRB decision for something less than tennination, that the matter be resolved by an Arbitrator.
 
 
 
 If the grievant wishes to appeal a termination the Association may request, within 30 calendar days of the date on the Notice of Termination, that the matter be resolved by an Arbitrator.",Allows officers to overturn discipline through binding arbitration,Contract,6/30/19,Article 12
Limits Oversight / Discipline,Lexington,Discipline greater than or equal to a written reprimand shall be grievable,Allows officers to overturn discipline through binding arbitration,Contract,2016,Article 11
