"","No","City","Contract Review Status","Complaint form / link to complaint process","Contract URL","State","Available Elsewhere Online?","Slack handle of person interested in reviewing this contract.","Expiration Date","Comments","pdfname","pdf_parsing_success"
"11",11,"Covina","Done","https://covinaca.gov/police/page/department-personnel-complaints-how-they-are-handled#:~:text=A%20complaint%20may%20be%20filed,and%20attached%20to%20the%20form.","https://covinaca.gov/hr/page/memoranda-understanding","CA","Municipal Website",NA,NA,NA,"011-CA-Covina",FALSE
"12",12,"Bakersfield","Done","https://www.kernsheriff.org/Complaints_Document/citizen_complaint_form.pdf","http://www.bakersfieldcity.us/gov/depts/human_resources/labor_relations.htm","CA","Municipal Website",NA,NA,NA,"012-CA-Bakersfield",FALSE
"13",13,"Baldwin Park","Done","http://www.baldwinparkpolice.com/wp-content/uploads/2019/05/PERSONNEL-COMPLAINT-FORM.pdf","https://www.baldwinpark.com/docssidemenu/human-resources/mous-memorandums-of-understanding","CA","Municipal Website",NA,NA,NA,"013-CA-Baldwin Park",FALSE
"14",14,"Berkeley","Done","https://www.cityofberkeley.info/Police/Home_-_translated/Complaints_and_Concerns.aspx#:~:text=During%20regular%20business%20hours%2C%208,(510)%20981%2D5706.","https://www.cityofberkeley.info/Human_Resources/Home/Union_Agreements_and_Employee_Manuals.aspx","CA","Municipal Website",NA,NA,NA,"014-CA-Berkeley",FALSE
"15",15,"Brea","Done","https://www.ci.brea.ca.us/393/Professional-Standards-Unit","http://www.ci.brea.ca.us/DocumentCenter/View/428","CA","Municipal Website",NA,NA,NA,"015-CA-Brea",TRUE
"16",16,"Brentwood","Done","https://www.brentwoodca.gov/gov/police/contact/dissatisfied.asp","http://www.brentwoodca.gov/gov/hr/mou.asp","CA","Municipal Website",NA,NA,NA,"016-CA-Brentwood",FALSE
"17",17,"Buena Park","Done","http://www.bppd.com/Personnel%20Complaint%20Form%20Rev%2002-2016,%202-sided,%20English.pdf","http://www.buenapark.com/city-departments/human-resources/employee-labor-relations","CA","Municipal Website",NA,NA,NA,"017-CA-Buena Park",FALSE
"18",18,"Burbank","Done","https://www.burbankpd.org/online-services/complaint-form/#:~:text=If%20you%20need%20to%20report,a%20Burbank%20Police%20Department%20employee.","http://www.burbankca.gov/departments/management-services/salary-listings-differentials-mous-employee-gross-earnings","CA","Municipal Website",NA,NA,NA,"018-CA-Burbank",FALSE
"19",19,"Carlsbad","Done","https://www.carlsbadca.gov/services/depts/police/complaint.asp","http://carlsbad-local.civica.granicuslabs.com/services/depts/hr/compensation.asp","CA","Municipal Website",NA,NA,NA,"019-CA-Carlsbad",FALSE
"20",20,"Cathedral City","Done","not found","http://www.cathedralcity.gov/services/human-resources/mous","CA","Municipal Website",NA,NA,NA,"020-CA-Cathedral City",FALSE
"21",21,"Costa Mesa","Done","https://www.costamesaca.gov/home/showdocument?id=40449","https://www.costamesaca.gov/index.aspx?page=1423","CA","Municipal Website",NA,NA,NA,"021-CA-Costa Mesa",FALSE
"22",22,"Dallas","Done","https://nextdoor.com/agency-post/tx/dallas/dallas-police/how-to-file-a-complaint-4116515/ also a much more recent audit on their complaint process (that points out how they don't have the detailed procedure for complaints stated anywhere and goes into other details): https://dallascityhall.com/departments/auditor/DCH%20Documents/Audit%20of%20the%20Dallas%20Police%20Department%27s%20Complaint%20Process%2011-25-2019.pdf","https://www.dropbox.com/s/8xoor06ynxd7syu/Dallas%20%28updated%29.pdf?dl=0","TX","Not online",NA,NA,NA,"022-TX-Dallas",FALSE
"23",23,"Oklahoma City","Done","https://www.okc.gov/home/showdocument?id=13238","https://www.dropbox.com/s/wcxpq9rct0v34hw/Oklahoma%20City%20%28updated%20again%29.pdf?dl=0","OK","Not online",NA,NA,NA,"023-OK-Oklahoma City",FALSE
"24",24,"El Paso","Done","https://www.elpasotexas.gov/police-department/internal-affairs","https://www.muckrock.com/foi/el-paso-339/police-union-contract-el-paso-police-department-18453/","TX","Campaign Zero",NA,NA,NA,"024-TX-El Paso",FALSE
"25",25,"Dayton","Done","closest i could find to it: http://daytonhrc.org/citizens-appeal-board/","http://www.daytonohio.gov/346/Labor-Agreements","OH","Municipal Website",NA,NA,NA,"025-OH-Dayton",FALSE
"26",26,"Louisville","Done","https://louisville-police.org/447/Formal-Complaint","https://louisvilleky.gov/government/human-resources/union-contracts","KY","Municipal Website",NA,NA,NA,"026-KY-Louisville",FALSE
"27",27,"Aurora","Done","https://www.aurora-il.org/2178/FAQs-on-The-Complaint-Process","https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Residents/Public%20Safety/Police/Join%20the%20APD/2017-2018%20APA-CITY%20Collective%20Bargaining%20Contract.pdf","CO","Municipal Website",NA,NA,NA,"027-CO-Aurora",FALSE
"28",28,"Detroit","Done","https://detroitmi.gov/government/boards/board-police-commissioners/office-chief-investigator-police-complaints#collapse-vbp-accordion-2416-4","http://www.detroitpoa.com/current_contract.php","MI","Municipal Website",NA,NA,NA,"028-MI-Detroit",FALSE
"29",29,"Cleveland","Done","http://www.city.cleveland.oh.us/CityofCleveland/Home/Government/CityAgencies/OPS/ComplaintProcess#:~:text=Filing%20A%20Complaint&text=Complete%20and%20Submit%20the%20complaint,Suite%20301%2C%20Cleveland%2C%20Ohio%2044113","http://www.serb.state.oh.us/sections/research/WEB_CONTRACTS/WebContracts.htm","OH","State Website",NA,NA,NA,"029-OH-Cleveland",FALSE
"30",30,"Fort Worth","Done","https://police.fortworthtexas.gov/Support/internal-affairs#:~:text=Complaints%20can%20be%20generated%20on,timeline%20for%20complaint%20resolution%20here.","https://www.dropbox.com/s/13zg9u3v2jw4ttr/Fort%20Worth%20%28updated%29.pdf?dl=0","TX","Not online",NA,NA,NA,"030-TX-Fort Worth",TRUE
"31",31,"Houston","Done","https://www.houstontx.gov/police/contact/iad.htm","http://hpou.org/about-us/2011-meet-confer-agreement/","TX","Municipal Website",NA,NA,NA,"031-TX-Houston",FALSE
"32",32,"Minneapolis","Done","http://www2.minneapolismn.gov/civilrights/policereview/WCMSP-225744","http://www.minneapolismn.gov/hr/laboragreements/","MN","Municipal Website",NA,NA,NA,"032-MN-Minneapolis",FALSE
"33",33,"Boston","Done","While looking for a link, I came across a site called openpolice.org (https://openpolice.org/dept/MA-boston-police-dept) that said that the BPD has an online form for reporting police misconduct but I was unable to locate it. Then I found in the BPD FAQ (https://bpdnews.com/faq) a section addressing police misconduct reports that said that a ""Internal Affairs Complaint Information Form"" would need to be filled out and mailed or handed in. The only place I could find that form was on this website http://vault.blackstonian.org/wp-content/uploads/2016/11/BPD_complaint_form.pdf","https://www.boston.gov/departments/labor-relations","MA","Municipal Website",NA,NA,NA,"033-MA-Boston",FALSE
"34",34,"Eugene","Done","https://www.eugene-or.gov/577/Internal-Affairs","https://www.eugene-or.gov/1966/Union-Information","OR","Municipal Website",NA,NA,NA,"034-OR-Eugene",FALSE
"35",35,"Fort Wayne","Done","http://www.fwpd.org/file-an-internal-affairs-complaint","https://www.muckrock.com/foi/fort-wayne-379/police-union-contract-fort-wayne-police-18426/","IN","Campaign Zero",NA,NA,NA,"035-IN-Fort Wayne",FALSE
"36",36,"Baltimore","Done","https://www.baltimorepolice.org/citizen-misconduct-complaint-form","https://labor-commissioner.baltimorecity.gov/contract-agreements","MD","Municipal Website",NA,NA,NA,"036-MD-Baltimore",FALSE
"37",37,"Reno","Done","https://www.renopd.com/IA","http://www.reno.gov/government/departments/human-resources/labor-relations-agreements","NV","Municipal Website",NA,NA,NA,"037-NV-Reno",FALSE
"38",38,"Sacramento","Done","https://www.cityofsacramento.org/Police/Contact/Personnel-Complaint","https://www.cityofsacramento.org/HR/Divisions/Labor-Relations/Labor-Agreements","CA","Municipal Website",NA,NA,NA,"038-CA-Sacramento",FALSE
"39",39,"Salinas","Done","https://www.salinaspd.com/content/civilian-complaint","https://www.cityofsalinas.org/our-city-services/human-resources/bargaining-units-mous","CA","Municipal Website",NA,NA,NA,"039-CA-Salinas",FALSE
"40",40,"San Bernadino","Done","Not found","https://www.ci.san-bernardino.ca.us/civicax/filebank/blobdload.aspx?BlobID=23685","CA","Municipal Website",NA,NA,NA,"040-CA-San Bernadino",FALSE
"41",41,"San Diego","Done","https://www.sandiego.gov/police/services/officercomments","https://www.sandiego.gov/humanresources/laborrelations","CA","Municipal Website",NA,NA,NA,"041-CA-San Diego",FALSE
"42",42,"San Francisco","Done","https://www.sanfranciscopolice.org/get-service/police-complaint","http://sfdhr.org/memoranda-understanding","CA","Municipal Website",NA,NA,NA,"042-CA-San Francisco",FALSE
"43",43,"San Jose","Done","http://www.sjpd.org/cop/ia.html#:~:text=When%20can%20a%20complaint%20be,(408)%20277%2D3920.","https://www.sanjoseca.gov/index.aspx?nid=508","CA","Municipal Website",NA,NA,NA,"043-CA-San Jose",FALSE
"44",44,"Cincinnati","Done","https://www.cincinnati-oh.gov/ccia/citizen-complaint-investigative-hearing-process/","http://www.serb.state.oh.us/sections/research/WEB_CONTRACTS/WebContracts.htm","OH","State Website",NA,NA,NA,"044-OH-Cincinnati",FALSE
"45",45,"Saint Petersburg","Done","https://police.stpete.org/employee-complaint/index.html","http://www.stpete.org/city_departments/human_resources/labor_relations_division.php","FL","Municipal Website",NA,NA,NA,"045-FL-Saint Petersburg",FALSE
"46",46,"Memphis","Done","https://www.memphispolice.org/complaints.asp","http://www.memphispoliceassociation.org/member-resources/","TN","Association or Union Website",NA,NA,NA,"046-TN-Memphis",FALSE
"47",47,"Las Vegas","Done","https://www.lvmpd.com/en-us/Pages/InternalAffairs-Complaints.aspx","https://lvppa.com/member-benefits/contracts/","NV","Association or Union Website",NA,NA,NA,"047-NV-Las Vegas",FALSE
"48",48,"Baton Rouge","Done","https://www.brla.gov/1821/Complaint-Form","https://assets.documentcloud.org/documents/3259912/Baton-Rouge-LA.pdf","LA","Media",NA,NA,NA,"048-LA-Baton Rouge",FALSE
"49",49,"Laredo","Done","Not found","http://www.cityoflaredohr.com/files/Police_Signed_Contract16_20.pdf","TX","Municipal Website",NA,NA,NA,"049-TX-Laredo",FALSE
"50",50,"Indianapolis","Done","https://www.indy.gov/activity/file-impd-complaint","https://www.muckrock.com/foi/indianapolis-160/police-union-contract-indianapolis-police-department-18442/","IN","Campaign Zero",NA,NA,NA,"050-IN-Indianapolis",FALSE
"51",51,"Hialeah","Done","Blair","http://www.hialeahfl.gov/index.php?option=com_docman&view=flat&category[0]=204&layout=default&Itemid=716&lang=en","FL","Municipal Website",NA,NA,NA,"051-FL-Hialeah",FALSE
"52",52,"Honolulu","Done","Blair","https://assets.documentcloud.org/documents/3259918/Honolulu-HI.pdf","HI","Media",NA,NA,NA,"052-HI-Honolulu",TRUE
"53",53,"Portland","Done","Blair","https://www.portlandoregon.gov/bhr/27840","OR","Municipal Website",NA,NA,NA,"053-OR-Portland",FALSE
"54",54,"Orlando","Done","Blair","https://orlando.novusagenda.com/AgendaPublic/CoverSheet.aspx?ItemID=41183&MeetingID=796","FL","Municipal Website",NA,NA,NA,"054-FL-Orlando",FALSE
"55",55,"Miami","Done","Blair","http://www.miamibeachfl.gov/laborrelations/scroll.aspx?id=18468","FL","Municipal Website",NA,NA,NA,"055-FL-Miami",FALSE
"56",56,"Kansas City","Done","Blair","https://www.lris.com/wp-content/uploads/contracts/kansascity_mo_police.pdf","MO","Labor Relations Information Systems",NA,NA,NA,"056-MO-Kansas City",FALSE
"57",57,"Madison","Done","Blair","https://www.cityofmadison.com/human-resources/labor-contracts","WI","Municipal Website",NA,NA,NA,"057-WI-Madison",FALSE
"58",58,"Austin","Done","Blair","http://www.austintexas.gov/department/city-manager/labor-relations","TX","Municipal Website",NA,NA,NA,"058-TX-Austin",FALSE
"59",59,"Los Angeles","Done","Blair","http://cao.lacity.org/MOUs/","CA","Municipal Website",NA,NA,NA,"059-CA-Los Angeles",FALSE
"60",60,"Seattle","Done","Blair","https://www.seattle.gov/personnel/resources/agreements.asp","WA","Municipal Website",NA,NA,NA,"060-WA-Seattle",FALSE
"61",61,"Tampa","Done","https://docs.google.com/spreadsheets/d/12OUTyq9B2fk_DP4obbln4MxLmKu2fUUHhQYDb4TyQuE/edit#gid=0","http://tampapba.org/mobile/index.cfm?action=page&section=26&pagenum=309&href=%2Findex.cfm%3Fsection%3D26%26pagenum%3D309%26titles%3D0","FL","Municipal Website",NA,NA,NA,"061-FL-Tampa",FALSE
"62",62,"New York","Done","see above link^^^^","https://www1.nyc.gov/site/olr/labor/labor-recent-agreements.page","NY","Municipal Website",NA,NA,NA,"062-NY-New York",FALSE
"63",63,"North Las Vegas","Done","see above link^^^^","http://emrb.nv.gov/Resources/police/Non-Supervisory/","NV","State Website",NA,NA,NA,"063-NV-North Las Vegas",FALSE
"64",64,"Lincoln","Done","see above link^^^^","http://lincolnca.gov/home/showdocument?id=1218","NE","Municipal Website",NA,NA,NA,"064-NE-Lincoln",FALSE
"65",65,"Tulsa","Done","see above link^^^^","https://www.cityoftulsa.org/government/departments/human-resources/union-agreements/","OK","Municipal Website",NA,NA,NA,"065-OK-Tulsa",FALSE
"66",66,"Saint Paul","Done","see above link^^^^","https://www.stpaul.gov/departments/human-resources/labor-relations","MN","Municipal Website",NA,NA,NA,"066-MN-Saint Paul",FALSE
"67",67,"Nashville","Done","see above link^^^^","https://www.lris.com/wp-content/uploads/contracts/nashvilledavidson_tn_police.pdf","TN","Labor Relations Information Systems",NA,NA,NA,"067-TN-Nashville",TRUE
"68",68,"Spokane","Done","see above link^^^^","https://www.muckrock.com/foi/spokane-71/police-union-contract-spokane-police-department-18472/","WA","Campaign Zero",NA,NA,NA,"068-WA-Spokane",FALSE
"69",69,"Chicago","Done","see above link^^^^","http://www.chicagofop.org/contract/","IL","Municipal Website",NA,NA,NA,"069-IL-Chicago",FALSE
"70",70,"Rochester","Done","see above link^^^^","http://seethroughny.net/contracts/","NY","State Website",NA,NA,NA,"070-NY-Rochester",FALSE
"71",71,"Henderson","Done","https://www.shouselaw.com/nv/blog/laws/how-to-file-a-complaint-against-a-police-officer-in-nevada/","http://emrb.nv.gov/Resources/police/Non-Supervisory/","NV","State Website",NA,NA,NA,"071-NV-Henderson",FALSE
"72",72,"Buffalo","Done","https://www.bpdny.org/158/Complaint-Process","http://seethroughny.net/contracts/","NY","State Website",NA,NA,NA,"072-NY-Buffalo",FALSE
"73",73,"Omaha","Done","https://police.cityofomaha.org/citizen-complaints","https://hr.cityofomaha.org/public-documents/union-contracts","NE","Municipal Website",NA,NA,NA,"073-NE-Omaha",FALSE
"74",74,"San Antonio","Done","https://www.sanantonio.gov/SAPD/Internal-Affairs","http://www.sanantonio.gov/City-Attorney/CollectiveBargaining","TX","Municipal Website",NA,NA,NA,"074-TX-San Antonio",FALSE
"75",75,"Saint Louis","Done","https://stlouiscountypolice.com/Citizen-Resources/Complaints-Commendations","https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/b/93/b9308707-0367-5560-9d70-8448b978916b/53bafe7167668.pdf.pdf","MO","Media",NA,NA,NA,"075-MO-Saint Louis",FALSE
"76",76,"District of Columbia","Done","Yuru","http://app.ocp.dc.gov/pdf/DCFA-2008-R-0024_Att3.pdf","DC","Municipal Website",NA,NA,NA,"076-DC-District of Columbia",TRUE
"77",77,"Pittsburgh","Done","Yuru","https://www.muckrock.com/foi/pittsburgh-130/police-union-contract-pittsburgh-bureau-of-police-18486/","PA","Campaign Zero",NA,NA,NA,"077-PA-Pittsburgh",FALSE
"78",78,"Corpus Christi","Done","Yuru","http://cms.cctexas.com/sites/default/files/HMRES-executed-ccpoa-final-contract.pdf","TX","Municipal Website",NA,NA,NA,"078-TX-Corpus Christi",TRUE
"79",79,"Newark","Done","Yuru","http://www.perc.state.nj.us/publicsectorcontracts.nsf","NJ","State Website",NA,NA,NA,"079-NJ-Newark",FALSE
"80",80,"Jersey City","Done","Yuru","http://www.perc.state.nj.us/publicsectorcontracts.nsf","NJ","State Website",NA,NA,NA,"080-NJ-Jersey City",FALSE
"81",81,"Jacksonville","Done",NA,"http://www.coj.net/departments/employee-services/labor-relations","FL","Municipal Website",NA,NA,NA,"081-FL-Jacksonville",FALSE
"82",82,"Philadelphia","Done",NA,"http://fop5.org/contract/","PA","Association or Union Website",NA,NA,NA,"082-PA-Philadelphia",FALSE
"83",83,"Milwaukee","Done",NA,"http://city.milwaukee.gov/der/LaborContracts","WI","Municipal Website",NA,NA,NA,"083-WI-Milwaukee",FALSE
"84",84,"Columbus","Done",NA,"http://www.serb.state.oh.us/sections/research/WEB_CONTRACTS/WebContracts.htm","OH","State Website",NA,NA,NA,"084-OH-Columbus",FALSE
"85",85,"Covina","Done",NA,"https://covinaca.gov/hr/page/memoranda-understanding","CA","Municipal Website",NA,NA,NA,"085-CA-Covina",FALSE
"86",86,"Culver City","Done",NA,"http://www.culvercity.org/city-hall/city-government/city-departments/human-resources/labor-and-employee-relations-mous","CA","Municipal Website",NA,NA,NA,"086-CA-Culver City",FALSE
"87",87,"Cypress","Done",NA,"http://destinyhosted.com/cypredocs/2016/CCREG/20161010_2/30_MOU_POA-2016%20-2019%20-%20(Redline%2009292016).pdf","CA","Municipal Website",NA,NA,NA,"087-CA-Cypress",FALSE
"88",88,"Daly City","Done",NA,"http://www.dalycity.org/City_Hall/Departments/home/Employee_and_Labor_Relations/Memorandum_of_Understanding__Employment_Contracts.htm","CA","Municipal Website",NA,NA,NA,"088-CA-Daly City",FALSE
"89",89,"Davis","Done",NA,"http://cityofdavis.org/city-hall/human-resources/memorandums-of-understanding-mous","CA","Municipal Website",NA,NA,NA,"089-CA-Davis",FALSE
"90",90,"Delano","Done",NA,"http://www.cityofdelano.org/index.aspx?NID=524","CA","Municipal Website",NA,NA,NA,"090-CA-Delano",FALSE
"91",91,"Downey","Done",NA,"http://downeyca.org/depts/hr/memoranda_of_understanding.asp","CA","Municipal Website",NA,NA,NA,"091-CA-Downey",FALSE
"92",92,"El Cajon","Done",NA,"https://www.cityofelcajon.us/home/showdocument?id=8115","CA","Municipal Website",NA,NA,NA,"092-CA-El Cajon",FALSE
"93",93,"El Monte","Done",NA,"http://www.elmonteca.gov/Government/Finance/CityContracts.aspx","CA","Municipal Website",NA,NA,NA,"093-CA-El Monte",FALSE
"94",94,"El Paso Robles","Done",NA,"http://www.prcity.com/government/departments/humanresources/","CA","Municipal Website",NA,NA,NA,"094-CA-El Paso Robles",FALSE
"95",95,"Elk Grove","Done",NA,"http://www.elkgrovecity.org/city_hall/departments_divisions/human_resources/m_o_us_and_agreements","CA","Municipal Website",NA,NA,NA,"095-CA-Elk Grove",FALSE
"96",96,"Escondido","Done",NA,"https://www.escondido.org/Data/Sites/1/media/pdfs/MOU/EPOASworn.pdf?v=2","CA","Municipal Website",NA,NA,NA,"096-CA-Escondido",TRUE
"97",97,"Fairfield","Done",NA,"https://www.fairfield.ca.gov/gov/depts/manager/human_resources/memoranda_of_understanding/fairfield_police_officers_association_(fpoa).asp","CA","Municipal Website",NA,NA,NA,"097-CA-Fairfield",FALSE
"98",98,"Folsom","Done",NA,"http://www.folsom.ca.us/city_hall/depts/human_resources/mous.asp","CA","Municipal Website",NA,NA,NA,"098-CA-Folsom",FALSE
"99",99,"Fontana","Done",NA,"https://www.fontana.org/326/City-Salary-Tables-MOUs","CA","Municipal Website",NA,NA,NA,"099-CA-Fontana",FALSE
"100",100,"Fountain Valley","Done",NA,"http://www.fountainvalley.org/263/Memorandums-of-Understanding","CA","Municipal Website",NA,NA,NA,"100-CA-Fountain Valley",FALSE
"101",101,"Fremont","Done",NA,"https://fremont.gov/452/Memorandums-of-Understanding","CA","Municipal Website",NA,NA,NA,"101-CA-Fremont",FALSE
"102",102,"Fresno","Done",NA,"https://www.fresno.gov/personnel/human-resources-support/","CA","Municipal Website",NA,NA,NA,"102-CA-Fresno",FALSE
"103",103,"Fullerton","Done",NA,"https://www.cityoffullerton.com/gov/departments/hr/labor_agreements.asp","CA","Municipal Website",NA,NA,NA,"103-CA-Fullerton",FALSE
"104",104,"Garden Grove","Done",NA,"https://www.ci.garden-grove.ca.us/internet/pdf/hr/2016-police-mou.pdf","CA","Municipal Website",NA,NA,NA,"104-CA-Garden Grove",TRUE
"105",105,"Gardena","Done",NA,"https://d17aqltn7cihbm.cloudfront.net/uploads/d03450c15e2ba1c7c6aac6e1a2138005","CA","Municipal Website",NA,NA,NA,"105-CA-Gardena",TRUE
"106",106,"Gilroy","Done",NA,"http://www.cityofgilroy.org/160/Memorandums-of-Understanding","CA","Municipal Website",NA,NA,NA,"106-CA-Gilroy",FALSE
"107",107,"Glendale","Done",NA,"http://www.glendaleca.gov/government/departments/police-department/career-opportunities/gpd-advantage/police-officer-employment-contract","CA","Municipal Website",NA,NA,NA,"107-CA-Glendale",FALSE
"108",108,"Glendora","Done",NA,"http://www.ci.glendora.ca.us/about-glendora/compensation-and-financial-transparency","CA","Municipal Website",NA,NA,NA,"108-CA-Glendora",FALSE
"109",109,"Hanford","Done",NA,"http://www.ci.hanford.ca.us/depts/admin/mou.asp","CA","Municipal Website",NA,NA,NA,"109-CA-Hanford",FALSE
"110",110,"Hawthorne","Done",NA,"http://www.cityofhawthorne.org/mou/","CA","Municipal Website",NA,NA,NA,"110-CA-Hawthorne",FALSE
"111",111,"Hayward","Done",NA,"https://www.hayward-ca.gov/your-government/departments/human-resources/mous","CA","Municipal Website",NA,NA,NA,"111-CA-Hayward",FALSE
"112",112,"Hemet","Done",NA,"http://www.cityofhemet.org/index.aspx?NID=395","CA","Municipal Website",NA,NA,NA,"112-CA-Hemet",FALSE
"113",113,"Huntington Beach","Done",NA,"http://www.huntingtonbeachca.gov/government/Departments/Human_Resources/mous/index.cfm","CA","Municipal Website",NA,NA,NA,"113-CA-Huntington Beach",FALSE
"114",114,"Huntington Park","Done",NA,"http://www.hpca.gov/353/MOUs","CA","Municipal Website",NA,NA,NA,"114-CA-Huntington Park",FALSE
"115",115,"Indio","Done",NA,"http://www.indio.org/your_government/hr/mous.htm","CA","Municipal Website",NA,NA,NA,"115-CA-Indio",FALSE
"116",116,"Inglewood","Done",NA,"https://www.cityofinglewood.org/464/Employee-Labor-Relations","CA","Municipal Website",NA,NA,NA,"116-CA-Inglewood",FALSE
"117",117,"Irvine","Done",NA,"https://legacy.cityofirvine.org/civica/filebank/blobdload.asp?BlobID=10836","CA","Municipal Website",NA,NA,NA,"117-CA-Irvine",TRUE
"118",118,"La Habra","Done",NA,"http://www.lahabracity.com/771/Salary-Schedule-Employee-MOU","CA","Municipal Website",NA,NA,NA,"118-CA-La Habra",FALSE
"119",119,"La Mesa","Done",NA,"http://www.cityoflamesa.com/435/MOUs","CA","Municipal Website",NA,NA,NA,"119-CA-La Mesa",FALSE
"120",120,"Lincoln","Done",NA,"https://www.lincoln.ne.gov/city/person/city/cicontra.htm","CA","Municipal Website",NA,NA,NA,"120-CA-Lincoln",FALSE
"121",121,"Livermore","Done",NA,"http://www.cityoflivermore.net/citygov/admin/hr/mous.htm","CA","Municipal Website",NA,NA,NA,"121-CA-Livermore",FALSE
"122",122,"Lodi","Done",NA,"http://www.lodi.gov/human_resources/MOUs.html","CA","Municipal Website",NA,NA,NA,"122-CA-Lodi",FALSE
"123",123,"Long Beach","Done",NA,"http://www.longbeach.gov/hr/about-us/labor-relations/","CA","Municipal Website",NA,NA,NA,"123-CA-Long Beach",FALSE
"124",124,"Madera","Done",NA,"https://www.cityofmadera.ca.gov/home/departments/human-resources/benefits/","CA","Municipal Website",NA,NA,NA,"124-CA-Madera",FALSE
"125",125,"Manhattan Beach","Done",NA,"http://www.citymb.info/city-officials/human-resources/benefits/memoranda-of-understanding","CA","Municipal Website",NA,NA,NA,"125-CA-Manhattan Beach",FALSE
"126",126,"Manteca","Done",NA,"https://www.ci.manteca.ca.us/HR/mou.aspx","CA","Municipal Website",NA,NA,NA,"126-CA-Manteca",FALSE
"127",127,"Menlo Park","Done",NA,"https://menlopark.org/388/Labor-agreements","CA","Municipal Website",NA,NA,NA,"127-CA-Menlo Park",FALSE
"128",128,"Merced","Done",NA,"https://www.cityofmerced.org/depts/personnel/employment/mous.asp","CA","Municipal Website",NA,NA,NA,"128-CA-Merced",FALSE
"129",129,"Milpitas","Done",NA,"http://www.ci.milpitas.ca.gov/milpitas/departments/about-human-resources-2/employeelabor-relations/","CA","Municipal Website",NA,NA,NA,"129-CA-Milpitas",FALSE
"130",130,"Modesto","Done",NA,"https://www.modestogov.com/594/Memorandums-of-Understanding","CA","Municipal Website",NA,NA,NA,"130-CA-Modesto",FALSE
"131",131,"Monterey Park","Done",NA,"http://www.montereypark.ca.gov/220/Salary-Schedule","CA","Municipal Website",NA,NA,NA,"131-CA-Monterey Park",FALSE
"132",132,"Mountain View","Done",NA,"http://www.mountainview.gov/depts/hr/benefits.asp","CA","Municipal Website",NA,NA,NA,"132-CA-Mountain View",FALSE
"133",133,"Murrieta","Done",NA,"https://www.murrietaca.gov/departments/hr/mou.asp","CA","Municipal Website",NA,NA,NA,"133-CA-Murrieta",FALSE
"134",134,"Napa","Done",NA,"http://www.cityofnapa.org/index.php?option=com_content&view=article&id=87&Itemid=1142","CA","Municipal Website",NA,NA,NA,"134-CA-Napa",FALSE
